Country	Area	Location	Month	Year	Time	Sex	Age	Type	Injury Categories	Species
AUSTRALIA	Queensland	Golden Beach, Caloundra	Jan	2006	11h00	M	18	Unprovoked	Lacerations	unknown
AUSTRALIA	Queensland	Point Vernon, Hervey Bay	Jan	2006	unknown	M	unknown	Unprovoked	Puncture wounds	unknown
AUSTRALIA	South Australia	Brighton Beach, Adelaide	Jan	2006	12h00	M	unknown	Boat	Minor injury	4.5 m white shark
SOUTH AFRICA	Eastern Cape Province	Nahoon, East London	Jan	2006	Late afternoon	M	15	Unprovoked	Limbs bitten	Raggedtooth shark
TONGA	Vava'u	Tu’anuku	Dec	2006	18h00	F	24	Unprovoked	Lethal	Tiger shark
USA	Hawaii	Off Pu'u Ola'l, Makena, Maui	Dec	2006	Afternoon	M	57	Boat	Minor injury	12' to 18' shark
ATLANTIC OCEAN	300 miles from Antigua	unknown	Nov	2006	unknown	M	46 & 34	Boat	Minor injury	12' shark
SOUTH AFRICA	Eastern Cape Province	Coffee Bay	Nov	2006	14h00	M	34	Unprovoked	Limbs bitten	unknown
ATLANTIC OCEAN	800 miles from land	unknown	Nov	2006	unknown	F	28, 23 & 30	Boat	Minor injury	unknown
USA	California	Santa Cruz, Santa Cruz County	Nov	2006	22h30	M	unknown	Unprovoked	Minor injury	unknown
AUSTRALIA	Western Australia	Off City Beach, Perth	Nov	2006	11h00	M	52	Unprovoked	Lacerations	3.5 m white shark
AUSTRALIA	Queensland	Amity Point, North Stradbroke Island	Oct	2006	17h15	F	21	Unprovoked	Lethal	Bull shark
USA	Florida	Round Island Park, Indian River County	Oct	2006	16h45	M	21	Unprovoked	Puncture wounds	4' shark
SOUTH AFRICA	Western Cape Province	Soetwater	Oct	2006	unknown	M	49	Unprovoked	Lacerations	Said to involve a 1.5 m shark
USA	Oregon	Tillamook Head, Clatsop County	Oct	2005	12h00	M	30	Unprovoked	Lacerations	White shark
USA	Hawaii	Keawakapu Beach, Maui	Oct	2005	11h45	M	29	Unprovoked	Limbs bitten	Tiger shark
ATLANTIC OCEAN	600 nm west of the Canary Islands	unknown	Oct	2005	13h30	unknown	unknown	Boat	Minor injury	3 m shark
AUSTRALIA	Queensland	St. Crispin Reef	Oct	2005	11h00	M	44	Unprovoked	Limbs bitten	Whitetip reef shark
AUSTRALIA	South Australia	Middle Beach, 40 km north of Adelaide	Oct	2005	15h30	unknown	unknown	Boat	Limbs bitten	4 m white shark
USA	Florida	Cape San Blas, Gulf County	Oct	2005	unknown	M	teen	Unprovoked	Limbs bitten	unknown
USA	Florida	Ponce Inlet, New Smyrna Beach, Volusia County	Sep	2005	13h00	M	23	Unprovoked	Lacerations	4' shark
AUSTRALIA	Victoria	6 km off Collendina, south of Melbourne	Sep	2005	unknown	unknown	unknown	Boat	Limbs bitten	3 m white shark
AUSTRALIA	Victoria	Flinders	Sep	2005	18h00	M	18	Unprovoked	Lacerations	1.8 m shark
SOUTH AFRICA	Eastern Cape Province	Nahoon, East London	Sep	2005	11h30	M	26	Unprovoked	Limbs bitten	unknown
NEW CALEDONIA	Loyalty Islands	Maré	Aug	2005	20h30	unknown	unknown	Unprovoked	Limbs bitten	unknown
USA	Florida	Jensen Beach, Martin County 	Aug	2005	Afternoon	M	30s	Unprovoked	Limbs bitten	4' shark
USA	Florida	New Smyrna  Beach, Volusia County	Aug	2005	14h30	M	17	Unprovoked	Lacerations	unknown
NEW CALEDONIA	unknown	unknown	Aug	2005	unknown	unknown	unknown	Boat	Minor injury	4.5 m white shark
SOUTH AFRICA	Eastern Cape Province	Aston Bay	Aug	2005	14h00	M	32	Provoked	Lacerations	Raggedtooth shark, 2.5m 
USA	Florida	New Smyrna  Beach, Volusia County	Aug	2005	13h00	M	18	Unprovoked	Puncture wounds	6' shark
USA	California	Mavericks, Half Moon Bay, San Mateo County	Aug	2005	16h45	M	25	Unprovoked	Limbs bitten	unknown
USA	California	Ocean Beach, San Francisco, San Francisco County	Jul	2005	07h15	M	26	Unprovoked	Minor injury	12' to 14' white shark
USA	Florida	Ponce de Leon Inlet, Volusia County 	Jul	2005	unknown	M	15	Unprovoked	Puncture wounds	2' to 3' shark
ST. MAARTIN	Simpson Bay	Sunterra Beach	Jul	2005	08h00	M	55	Unprovoked	Lacerations	2' shark
SOUTH AFRICA	Western Cape Province	Uilenkraalsmond (near Gansbaai)	Jul	2005	Morning	M	20	Unprovoked	Limbs bitten	3 m shark
USA	California	Klamath River mouth, Del Norte County	Jul	2005	11h00	M	36	Unprovoked	Minor injury	White shark
USA	California	Salmon Beach, Sonoma County	Jul	2005	10h30	F	20	Unprovoked	Limbs bitten	18' white shark
USA	Florida	Ponce Inlet, Volusia County	Jul	2005	17h55	M	15	Provoked	Minor injury	unknown
USA	Hawaii	Honokowai, Maui	Jul	2005	18h00	M	22	Unprovoked	Limbs bitten	Tiger shark, less than 10'
GRAND CAYMAN	East Wall	Jack McKenney's Canyon	Jul	2005	15h00	F	57	Unprovoked	Minor injury	Caribbean reef sharks
USA	Florida	Ponce Inlet, Volusia County	Jul	2005	16h05	M	48	Unprovoked	Lacerations	unknown
BAHAMAS	Abaco Islands	Grand Cay	Jul	2005	unknown	M	35	Unprovoked	Lacerations	unknown
SOUTH AFRICA	Western Cape Province	Sunny Cove, Fish Hoek	Jun	2005	15h00	M	52	Unprovoked	Limbs bitten	White shark
AUSTRALIA	New South Wales	Arakoon's Little Bay	Jun	2005	unknown	M	28	Unprovoked	Minor injury	Tiger shark, 3 m 
AUSTRALIA	South Australia	Kangaroo Island	Jun	2005	12h05	M	26	Unprovoked	Lacerations	14' to 16' white shark
AUSTRALIA	Western Australia	Scarborough Beach, Perth	Jun	2005	Morning	M	44	Unprovoked	Minor injury	Bronze whaler shark
USA	South Carolina	Myrtle Beach, Horry County	May	2005	16h30	F	68	Unprovoked	Minor injury	3' to 4' shark
USA	South Carolina	Folly Beach	May	2005	14h00	M	18	Unprovoked	Lethal	unknown
AUSTRALIA	New South Wales	Park Beach, Coff's Harbour	May	2005	Dusk	M	15	Unprovoked	Lacerations	unknown
USA	North Carolina	North Topsail Beach, Onslow County	May	2005	15h20	F	18	Unprovoked	Lacerations	Bull shark
AUSTRALIA	South Australia	Fishery Bay, Eyre Peninsula	May	2005	15h00	M	40	Unprovoked	Lacerations	4 m [13'] white shark
USA	Florida	Ponce Inlet, Volusia County	May	2005	11h10	M	62	Unprovoked	Limbs bitten	unknown
THAILAND	unknown	On deck of fishing trawler 100 nautical miles offshore	May	2005	unknown	M	21	Provoked	Lethal	2 m [6.75'] shark, 200-kg shark T
AUSTRALIA	South Australia	Glenelg 	May	2005	16h10	M	23	Unprovoked	Lethal	White shark
USA	California	Scripps, LaJolla, San Diego County	May	2005	11h00	M	37	Unprovoked	Lacerations	juvenile white shark
USA	South Carolina	34th Avenue North, Myrtle Beach, Horry County	Apr	2005	Morning	M	8	Unprovoked	Limbs bitten	Possibly a sandbar shark or small blacktip shark
USA	Texas	Crystal Beach (east of Galveston)	Apr	2005	20h00	M	12	Unprovoked	Limbs bitten	unknown
USA	North Carolina	Carolina Beach off Texas Avenue, New Hanover County	Apr	2005	11h30	M	16	Unprovoked	Lacerations	1.8 m [6'] shark
USA	South Carolina	Isle of Palms, Charleston County	Mar	2005	09h45	M	14	Unprovoked	Puncture wounds	unknown
USA	Florida	Off Zelda Boulevard, Daytona Beach, Volusia Countyy	Mar	2005	18h00	F	13	Unprovoked	Lacerations	unknown
USA	Florida	Ormond Beach, Volusia County	Mar	2005	11h30	M	61	Unprovoked	Minor injury	unknown
CHINA	Shanghai	Ocean World, Changfeng Park	Mar	2005	unknown	M	24	Provoked	Minor injury	3.5 m [11.5']shark
USA	North Carolina	Holden Beach, Brunswick County	Mar	2005	16h40	M	22	Unprovoked	Lacerations	[4.5' to 5'] shark
USA	Texas	Port Bolivar, Galveston County	Mar	2005	13h00	F	14	Unprovoked	Limbs bitten	[4' to 5']
USA	Florida	Boca Grande, Lee County	Feb	2005	11h30	M	19	Unprovoked	Limbs bitten	unknown
USA	Florida	Cape San Blas, Gulf County	Feb	2005	11h30	M	16	Unprovoked	Limbs bitten	Bull shark
USA	Florida	Destin, Walton County	Feb	2005	11h15	F	14	Unprovoked	Lethal	1.8 m [6'] bull shark
VANUATU	Malampa Province	Atchin Island off Malakula	Feb	2005	Afternoon	F	7	Unprovoked	Lethal	"On 8/13/2005 anglers from New Zealand caught a 2.8 m [9'3""], 140-kg [309-lb] shark at the same spot. It was believed this was the same shark that killed Alysha"
MEXICO 	Baja California	San Luis beach	Feb	2005	07h00	M	unknown	Unprovoked	Limbs bitten	unknown
USA	Florida	Howard E. Futch Memorial Park at Paradise Beach, Brevard County	Jan	2005	Afternoon	M	20	Unprovoked	Limbs bitten	Unknown, but it was reported that a shark tooth was recovered from the wound
SOUTH KOREA	South Ch'ungch'ong Province	Dando/Kaeui Island 	Jan	2005	unknown	F	38	Unprovoked	Limbs bitten	3 m [10'] white shark
USA	South Carolina	Kiawah Island, Charleston County	Jan	2005	11h30 	F	11	Unprovoked	Lacerations	unknown
SOUTH AFRICA	Western Cape Province	Miller's Point	Jan	2005	15h45	M	22	Unprovoked	Lethal	White shark
USA	Texas	Mustang Island, Corpus Christi	Jan	2005	Morning	M	6	Unprovoked	Lacerations	unknown
USA	Florida	Daytona Beach Shores	Jan	2005	17h30	M	33	Unprovoked	Limbs bitten	"""small shark"""
USA	Florida	Sand Key Beach, Clearwater, Pinellas County	May	2005	18h30	F	unknown	Unprovoked	Limbs bitten	"18"" to 36"" shark"
SOUTH AFRICA	Eastern Cape Province	Kei River Mouth	Dec	2005	11h00	M	32	Unprovoked	Lacerations	Raggedtooth shark
AUSTRALIA	Queensland	50 km east of Townsville	Dec	2005	unknown	M	unknown	Unprovoked	Minor injury	Blacktip shark
USA	Hawaii	North Kihei, Maui	Dec	2005	11h00	unknown	unknown	Unprovoked	Limbs bitten	Tiger shark, 8' to 9' 
MADAGASCAR	unknown	unknown	Dec	2005	unknown	M	unknown	Unprovoked	Limbs bitten	2.5 m shark
USA	South Carolina	Off Sullivans Island	Nov	2005	unknown	M	Teens	Sea Disaster	Minor injury	unknown
USA	Hawaii	Noreiga's, Maui	Nov	2005	10h30	M	47	Unprovoked	Minor injury	Tiger shark, 3 m [10']
AUSTRALIA	New South Wales	Bermagui	Nov	2005	23h00	M	25	Provoked	Lacerations	Mako shark, 1.5 m [5'] 
AUSTRALIA	New South Wales	Crookhaven	Nov	2005	unknown	unknown	unknown	Unprovoked	Limbs bitten	unknown
AUSTRALIA	Northern Territory	Bremer Island	Nov	2005	unknown	M	20	Unprovoked	Minor injury	2 m [6.75'] copper shark
AUSTRALIA	New South Wales	Bronte Beach	Nov	2005	06h10	M	40	Unprovoked	Limbs bitten	Bronze whaler shark
USA	Florida	Crescent Beach, Sarasota County	Nov	2005	unknown	F	70	Unprovoked	Limbs bitten	1.8 m [6'] blacktip shark
USA	Texas	Isla Blanca Park, South Padre Island, Cameron County	Nov	2005	19h00	M	37	Unprovoked	Limbs bitten	unknown
USA	Florida	Jacksonville Beach, Duval County	Nov	2005	unknown	F	unknown	Unprovoked	Minor injury	small hammerhead shark
SOUTH AFRICA	Western Cape Province	Noordhoek	Oct	2005	09h45	M	32	Unprovoked	Lacerations	4 m [13'] shark
AUSTRALIA	New South Wales	unknown	Oct	2005	unknown	M	unknown	Unprovoked	Minor injury	unknown
VENEZUELA	unknown	Punta Caracas	Oct	2005	17h30	M	unknown	Unprovoked	Limbs bitten	unknown
AUSTRALIA	Western Australia	Wreck Point, Abrolhos Islands	Oct	2005	14h00	M	26	Unprovoked	Lethal	6 m [20'] white shark
USA	New Mexico	Albuquerue Aquarium, Albuquerue	Oct	2005	15h30	M	45	Provoked	Puncture wounds	Sandtiger shark, 2.1 m [7'] 
NEW ZEALAND	North Island	Waiapu River mouth , East Cape	Oct	2005	14h00	M	unknown	Provoked	Minor injury	Bronze whaler shark, 4.3 m [14'] 
SOLOMON ISLANDS	Santa Isabel Province	unknown	Oct	2005	unknown	M	unknown	Unprovoked	Limbs bitten	unknown
AUSTRALIA	Queensland	Brisbane River	Oct	2005	unknown	M	18	Unprovoked	Limbs bitten	Bull shark
USA	Florida	Long Key, Monroe County	Sep	2005	unknown	M	unknown	Provoked	Limbs bitten	Nurse shark, 3' 
USA	Hawaii	Rocky Point, north shore of O'ahu	Sep	2005	14h30	M	unknown	Unprovoked	Limbs bitten	Tiger shark, 2.4 m [8']
USA	Florida	Fort Lauderdale	Sep	2005	unknown	M	unknown	Unprovoked	Limbs bitten	1.8 m [6'] Caribbean reef shark
BRAZIL	Bahia	Ilhéus	Sep	2005	unknown	M	12	Unprovoked	Minor injury	unknown
CUBA	Santiago de Cuba Province	Uvero	Sep	2005	unknown	M	19	Unprovoked	Severe	3 m [10'] shark
AUSTRALIA	Victoria	Port Phillip Bay	Sep	2005	unknown	M	unknown	Provoked	Minor injury	3 m shark
AUSTRALIA	Victoria	Blairgowrie	Sep	2005	14h00	unknown	unknown	Provoked	Minor injury	Bronze whaler shark, 2 m to 3 m [6.75' to 10']  
NEW ZEALAND	North Island	Taupiri Bay	Sep	2005	12h00	M	39	Unprovoked	Minor injury	White shark
AUSTRALIA	South Australia	West Beach, Adelaide	Sep	2004	15h15	M	18	Unprovoked	Lethal	4.5 m & 5 m white shark 
AUSTRALIA	Queensland	Opal Reef	Sep	2004	13h00	M	38	Unprovoked	Lethal	Bull shark
SOUTH AFRICA	Eastern Cape Province	Nahoon, East London	Aug	2004	18h00	M	20	Unprovoked	Lacerations	Raggedtooth shark
SOUTH AFRICA	Eastern Cape Province	Gonubie	Aug	2004	unknown	M	16	Unprovoked	Lacerations	Raggedtooth shark
SOUTH AFRICA	Western Cape Province	Fish Hoek, False Bay	Aug	2004	07h00	F	77	Unprovoked	Lethal	6 m [20'] white shark
USA	California	Bunkers, Humboldt Bay, Eureka, Humboldt County	Jul	2004	13h30	M	38	Unprovoked	Lacerations	5.5 m [18'] white shark
VANUATU	Malampa Province	Malakula (Malakula Island)	Jul	2004	09h00	M	30s	Unprovoked	Limbs bitten	unknown
NEW CALEDONIA	North Province	Koumac	Jul	2004	unknown	unknown	unknown	Unprovoked	Limbs bitten	3 m shark
CUBA	Camaguey Province	Santa Lucia	Jul	2004	14h00	M	40	Unprovoked	Limbs bitten	2.5 m [8.25'] bull shark
SOUTH AFRICA	Western Cape Province	Gansbaai	Jul	2004	Morning	M	52	Unprovoked	Lacerations	2 m [6.75'] white shark
AUSTRALIA	New South Wales	Stockton Beach	Jul	2004	Afternoon	M	59	Unprovoked	Lacerations	Bronze whaler shark, 2.4 m [8'] 
USA	California	Limantour Beach, Point Reyes National Seashore	Jul	2004	09h30	M	unknown	Unprovoked	Limbs bitten	1.8 m to 2.4 m [6' to 8'] white shark
USA	Hawaii	Moloka'i	Jul	2004	12h40	M	34	Unprovoked	Limbs bitten	Tiger shark, 2.4 m to 3.7 m [8' to 12'] 
SOUTH AFRICA	Eastern Cape Province	Jeffrey’s Bay	Jul	2004	Morning	M	34	Unprovoked	Puncture wounds	Raggedtooth shark, 1.5 to 2 m [5' to 6.75']
REUNION	Conservatória District	P' tit Paris, Saint-Pierre	Jun	2004	16h15	M	15	Unprovoked	Limbs bitten	Thought to involve a 2.5 m bull or tiger shark
USA	California	Pismo Beach, San Luis Obispo County	Jun	2004	15h30	M	16	Unprovoked	Minor injury	unknown
USA	California	Lifeguard Tower 16, Huntington Beach, Orange County	Jun	2004	14h00	M	40	Unprovoked	Minor injury	unknown
AUSTRALIA	Queensland	Batt Reef	Jun	2004	12h00	unknown	unknown	Boat	Minor injury	Tiger shark, 3 m [10'] 
USA	Oregon	Gold  Beach	Jun	2004	09h00	M	26	Unprovoked	Limbs bitten	White shark
BRAZIL	Pernambuco	Pina, Recife	Jun	2004	unknown	unknown	unknown	Unprovoked	Lethal	unknown
USA	South Carolina 	North of Apache Pier, Myrtle Beach, Horry County	Jun	2004	15h40	F	17	Unprovoked	Limbs bitten	2.4 m [8'] shark
USA	Florida	New Smyrna Beach / Cape Canaveral  National Seashore, Brevard County	May	2004	17h30	F	38	Unprovoked	Limbs bitten	unknown
BRAZIL	Pernambuco	Boa Viagem Beach, Recife	May	2004	13h00	M	24	Unprovoked	Limbs bitten	Tiger shark, 1.5 m 
USA	California	204s, San Clemente, Orange County	May	2004	17h30	M	unknown	Unprovoked	Limbs bitten	0.9 m to 1.2 m [3' to 4'] white shark
USA	California	Kibesillah, Mendocino County	May	2004	16h00	M	50	Unprovoked	Lethal	4.9 m to 5.5 m [16' to 18'] white shark
USA	Florida	Big Bayou, St. Petersburg, Pinellas County 	May	2004	20h30	M	47	Unprovoked	Limbs bitten	1.2 m [4'] shark
AUSTRALIA	New South Wales	Byron Bay	May	2004	14h00	M	30	Unprovoked	Puncture wounds	unknown
SOUTH AFRICA	KwaZulu-Natal	Park Rynie	Apr	2004	unknown	unknown	unknown	Boat	Minor injury	3 m to 4 m [10' to 13']  white shark
USA	Florida	Cocoa  Beach, Brevard County	Apr	2004	13h00	F	20	Unprovoked	Limbs bitten	unknown
RUSSIA	Kuril Islands in the Pacific	Kunashir Island, 70 km from northern Japan	Apr	2004	unknown	M	unknown	Unprovoked	Limbs bitten	White shark
USA	North Carolina	Rodanthe, Dare County	Apr	2004	17h30	F	28	Unprovoked	Limbs bitten	unknown
USA	North Carolina	Carolina Beach, New Hanover County	Apr	2004	17h00	F	13	Unprovoked	Lacerations	1.8 m [6'] shark
USA	Texas	Galveston Island	Apr	2004	16h30	F	19	Unprovoked	Limbs bitten	1.2 m to 1.5 m [4' to 5'] shark
USA	Texas	Bryan Beach, Brazoria County	Apr	2004	19h30	M	11	Unprovoked	Limbs bitten	Bull shark
AUSTRALIA	Western Australia	7 km off Trigg surf beach, Perth	Apr	2004	unknown	unknown	unknown	Boat	Minor injury	4 m [13'] white shark
JAPAN	Wakayama Prefecture	Susami	Apr	2004	unknown	M	51	Unprovoked	No details	Longfin mako shark, 3.5 m [11.5'], 350-kg [772-lb] 
AUSTRALIA	Western Australia	Lefthanders Beach, Margaret River	Apr	2004	14h10	M	30	Unprovoked	Lethal	2 sharks, 4.5 m & 3 m 
EGYPT	Sinai Peninsula	The lagoon at Dahab	Apr	2004	unknown	F	Teen	Unprovoked	Severe	"""black tipped"" shark"
USA	Alabama	Gulf Shores Beach, Baldwin County	Apr	2004	16h40	M	7	Unprovoked	Lacerations	4' to 5' shark
USA	California	San Onofre State Beach, San Diego County	Apr	2004	09h00	M	45	Unprovoked	Minor injury	"9'2"" white shark"
USA	Florida	Disney / Vero Beach, Indian River County	Apr	2004	unknown	F	unknown	Unprovoked	Limbs bitten	unknown
AUSTRALIA	Western Australia	Bunbury	Mar	2004	Late afternoon	M	17	Unprovoked	Lacerations	Bronze whaler shark, 2.5 m [8.25'] 
USA	Florida	Daytona Beach Shores, Volusia County	Feb	2004	18h00	M	8	Unprovoked	Lacerations	1.2 m [4'] shark
SOUTH AFRICA	Western Cape Province	Dyer Island	Feb	2004	15h00	M	21	Unprovoked	Lethal	White shark
USA	Texas	Pirate's Beach, Galveston Island	Feb	2004	19h45	M	16	Unprovoked	Puncture wounds	0.9 m to 1.5 m [3' to 5'] shark
BRAZIL	Pernambuco	Piedade Beach	Feb	2004	14h30	M	17	Unprovoked	Limbs bitten	Bull shark
USA	California	Salmon Creek, Sonoma County	Feb	2004	11h00	M	44	Unprovoked	Minor injury	2.4 m to 3.7 m [8' to 12'] shark
USA	Florida	St. Augustine, St. John's County	Jan	2004	12h30	M	9	Unprovoked	Lacerations	unknown
USA	Florida	Jacksonville Beach, Duval County	Dec	2004	Afternoon	F	9	Unprovoked	Limbs bitten	unknown
BRAZIL	Pernambuco	Piedade Beach, Recife	Dec	2004	16h00	F	24	Unprovoked	Limbs bitten	unknown
BAHAMAS	Abaco Islands	Green Turtle Cay	Dec	2004	15h00	M	63	Provoked	Limbs bitten	1,5 m [5'] Caribbean reef shark (Carcharhinus  perezi)
USA	Texas	Channel between South Padre Island & Padre Island National Seashore	Dec	2004	16h30	M	28	Unprovoked	Limbs bitten	Mako shark, 1.8 m [6']
BRAZIL	Pernambuco	Piedade 	Dec	2004	Afternoon	M	22	Unprovoked	Lethal	unknown
AUSTRALIA	New South Wales	Latitude Reef, near Forster	Nov	2004	Morning	M	unknown	Unprovoked	Puncture wounds	Wobbegong shark, 1.2 m [4'] k
NEW ZEALAND	North Island	Motunui	Nov	2004	unknown	unknown	unknown	Boat	Minor injury	White shark, 5.5 m [18']
 TONGA	Nuku'alofa	30 nautical miles offshore	Nov	2004	unknown	M	unknown	Unprovoked	Limbs bitten	small sharks
USA	Hawaii	Kahana Beach, Maui	Nov	2004	07h08	M	57	Unprovoked	Lethal	Tiger shark
SOUTH AFRICA	Western Cape Province	Surfers' Corner, Muizenberg, False Bay	Nov	2004	14h00	M	16	Unprovoked	Lacerations	5 m [16.5'] white shark
USA	Florida	Ocean Reef Park, Singer Island, Palm Beach County	Oct	2004	unknown	M	26	Unprovoked	Limbs bitten	unknown
USA	Florida	Stuart Rocks, Martin County	Oct	2004	09h00	M	20	Unprovoked	Puncture wounds	1.2 m [4'] bull shark
BRAZIL	Pernambuco	Piedade Beach	Oct	2004	07h30	M	22	Unprovoked	Limbs bitten	bull shark
USA	Florida	Pelican Beach Park, Satellite Beach, Brevard County	Oct	2004	15h00	M	unknown	Unprovoked	Limbs bitten	bull shark
REUNION	Saint-Benoît	Spot de la gare	Oct	2004	17h00 or 17h40	M	20	Unprovoked	Limbs bitten	2.5 m shark
USA	Florida	Sanibel Island, Lee County	Oct	2004	08h30	M	61	Unprovoked	Lacerations	unknown
USA	Hawaii	Punaluu	Sep	2004	10h00	F	unknown	Unprovoked	Lacerations	1.8 m [6'] shark
NEW ZEALAND	North Island	Te Arai Point	Sep	2004	12h30	M	unknown	Unprovoked	Minor injury	Bronze whaler shark
USA	Hawaii	Kalihiwai Beach, Kauai	Sep	2004	07h45	M	51	Unprovoked	Limbs bitten	Tiger shark, 2.4 m to 3 m [8' to 10'] 
AUSTRALIA	Western Australia	5 nm off Cervantes	Sep	2004	unknown	M	47	Unprovoked	Limbs bitten	Bronze whaler shark, 1.5 m [5'] 
BRAZIL	Pernambuco	Piedade Beach, Recife	Sep	2004	15h00	M	29	Unprovoked	Lethal	unknown
NEW ZEALAND	South Island, near Karitane north of Dunedin	South Beach	Sep	2004	19h00	M	15	Unprovoked	Lacerations	2 m [6.75'] sevengill  shark
AUSTRALIA	New South Wales	Taree, Old Bar Beach	Sep	2004	unknown	M	unknown	Unprovoked	Lacerations	unknown
EGYPT	unknown	Coral Bay, Sharm-el-Sheikh	Sep	2004	unknown	M	unknown	Unprovoked	Lethal	unknown
AUSTRALIA	New South Wales	Caves Beach	Sep	2004	unknown	M	22	Unprovoked	Limbs bitten	"60 cm [23.6""] blind or brown shark"
AUSTRALIA	Western Australia	Binningup	Sep	2004	11h05	M	46	Unprovoked	Limbs bitten	4 m to 5 m [13' to 16.5'] white shark
URUGUAY	Rocha	Ensenada de la Coronilla	Sep	2004	unknown	M	21	Unprovoked	Puncture wounds	Possibily a  1.5 to 2 m sandtiger shark
VENEZUELA	Anzoategui	Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach	Aug	2004	14h30	M	unknown	Unprovoked	Limbs bitten	"Bull shark, 1.65 m [5'5""] was speared & killed"
VENEZUELA	Anzoategui	Santa Cruz Beach, Mochima National Park, 250 km from Caracas	Aug	2004	11h00	M	40	Unprovoked	Limbs bitten	Bull shark, 132-kg [291-lb] 
SOUTH AFRICA	KwaZulu-Natal	Ballito	Aug	2004	unknown	M	unknown	Boat	Limbs bitten	Mako shark, 3 m to 4 m [10' to 13'] 
AUSTRALIA	New South Wales	Bushrangers Pass at Bass Point	Aug	2004	Midday	M	unknown	Unprovoked	Lacerations	Raggedtooth shark, 3.5 m [11.5'] 
SOUTH AFRICA	Eastern Cape Province	West Beach, Port Alfred	Aug	2004	unknown	M	22	Unprovoked	Lacerations	Raggedtooth shark
EGYPT	Sinai Peninsula	Off Sharm El-Sheikh	Jul	2004	03h00	unknown	unknown	Sea Disaster	Lethal	unknown
AUSTRALIA	Western Australia	Redgate Beach	Jul	2004	Morning	M	unknown	Unprovoked	No injury	unknown
SOUTH AFRICA	KwaZulu-Natal	Salt Rock 	Jul	2003	unknown	unknown	unknown	Boat	Minor injury	Shortfin mako shark
USA	Florida	Melbourne Beach, Brevard County	Jul	2003	13h15	M	13	Unprovoked	Limbs bitten	unknown
NEW ZEALAND	Cook Islands	Pukapuka Northern Group	Jul	2003	Night	M	45	Unprovoked	Lethal	unknown
AUSTRALIA	Victoria	Collendina Beach east of Ocean Grove	Jun	2003	09h30	M	36	Unprovoked	No injury	unknown
AUSTRALIA	Western Australia	Perth? (Margaret River District)	Jun	2003	11h30	M	unknown	Unprovoked	Limbs bitten	Wobbegong shark, 1.2 m [4'] 
AUSTRALIA	Western Australia	Perth? (Margaret River District)	Jun	2003	11h30	M	unknown	Unprovoked	Limbs bitten	Wobbegong shark, 1.2 m [4'] 
SOUTH AFRICA	KwaZulu-Natal	Sodwana	Jun	2003	>08h00	M	21	Unprovoked	Lethal	Tiger shark, 4 m [13']  ?
USA	Florida	Daytona Beach, Volusia County	Jun	2003	15h30	F	35	Unprovoked	Minor injury	4' shark
INDIA	Tamilnadu	Mahabalipuram beach, 37 km south of Chennai	Jun	2003	unknown	M	35	Unprovoked	Lacerations	Tiger shark?
USA	Florida	South Jetty, New Smyrna Beach, Volusia County	Jun	2003	unknown	M	24	Unprovoked	Lacerations	unknown
EGYPT	Sinai Peninsula	Sha’ab Mahmud, Ras Mohamed Park	Jun	2003	unknown	M	unknown	Unprovoked	Minor injury	2.5 oceanic whitetip shark
SOUTH AFRICA	KwaZulu-Natal	Karridene	Jun	2003	unknown	unknown	unknown	Unprovoked	Limbs bitten	White shark
AUSTRALIA	New South Wales	Seal Rocks, north of Newcastle	May	2003	Dusk	M	unknown	Unprovoked	Lacerations	unknown
PANAMA	Pearl Islands	unknown	May	2003	unknown	M	unknown	Provoked	Limbs bitten	Nurse shark, 60 cm to 90 cm [2' to 3'] 
USA	Florida	Ponte Vedra Beach, St. Johns County	May	2003	15h00	M	18	Unprovoked	Limbs bitten	1.2 m to 1.5 m [4' to 5'] shark
AUSTRALIA	New South Wales	Lighthouse Beach, Seal Rocks	May	2003	17h30	M	22	Unprovoked	Lacerations	1.5 m [5'] shark, either a bronze whaler or a grey nurse shark
USA	Hawaii	Tunnels surf break off Makua Beach, Kaua'i	May	2003	07h30	F	13	Unprovoked	Severe	Tiger shark, 14' 
USA	Florida	New Smyrna Beach, Volusia County	May	2003	12h20	M	46	Unprovoked	Lacerations	unknown
USA	Florida	Near Patrick Air Force Base Brevard County	May	2003	--	M	19	Unprovoked	Limbs bitten	1.2 m [4'] shark
USA	Florida	Ocean Reef Park, Singer Island, Palm Beach County	Apr	2003	15h00	F	unknown	Unprovoked	Puncture wounds	unknown
USA	Florida	Stuart Park Beach, Martin County	Apr	2003	14h30	M	18	Unprovoked	Lacerations	unknown
USA	Florida	South Jetty, New Smyrna Beach, Volusia County	Apr	2003	14h00	M	30	Provoked	Limbs bitten	unknown
USA	Florida	Crawford Road beach approach at New Smyrna Beach, Volusia County	Apr	2003	12h02	M	50	Unprovoked	Limbs bitten	unknown
USA	Hawaii	Cove Beach / Kalama Beach, Kihei, Maui	Apr	2003	12h55	F	41	Unprovoked	Minor injury	"1.2 m [4'] ""grey-colored shark"""
FIJI	Taveuni	Welagi coastal reef off Drekeniwai	Apr	2003	Night	M	40	Unprovoked	Lethal	unknown
USA	Florida	North Hutchinson Island, St. Lucie Couny	Apr	2003	07h45	M	16	Unprovoked	Lacerations	unknown
