Country	Area	Location	Month	Year	Time	Sex	Age	Type	Injury Categories	Species
NEW CALEDONIA	unknown	 Côte-Blanche, Nouméa 	May	2016	Afternoon	M	unknown	Unprovoked	Lacerations	3 m shark
AUSTRALIA	Western Australia	Falcon Beach, Mandurah	May	2016	16h00	M	29	Unprovoked	Lethal	White shark
USA	California	Corona Del Mar, Newport, Orange County	May	2016	16h00	F	52	Unprovoked	Minor injury	unknown
USA	Florida	Neptune, Duval County	May	2016	15h45	M	13	Unprovoked	Minor injury	5' shark
USA	Florida	Vero Beach, Indian River County	May	2016	12h00	F	57	Unprovoked	Puncture wounds	unknown
USA	Florida	St. Petersburg, Pinellas County	May	2016	18h00	F	22	Unprovoked	Lacerations	Bull shark, 4' to 5'
USA	Florida	Hugenot Beach , Jacksonville, Duval County	May	2016	17h46	F	11	Unprovoked	Minor injury	unknown
USA	Florida	Ponte Vedra, St. Johns County	May	2016	Morning 	M	48	Unprovoked	Limbs bitten	Blacktip shark, 4'
USA	Florida	Boca Raton, Palm Beach County	May	2016	13h20	F	23	Provoked	No details	Nurse shark, 2'
USA	Hawaii	Wailea Beach, Maui	May	2016	15h49	M	59	Unprovoked	Lacerations	unknown
NEW ZEALAND	North Island	Cormandel	Apr	2016	Afternoon	M	39	Provoked	Limbs bitten	Mako shark, 1.5 m [5'] 
INDONESIA	Bali	Balian	Apr	2016	07h00	M	24	Unprovoked	Limbs bitten	Bull shark, 6'
USA	Florida	New Smyrna Beach, Volusia County	Apr	2016	17h30	M	15	Unprovoked	Minor injury	unknown
SOUTH AFRICA	Western Cape Province	Robberg Beach, Plettenberg Bay	Apr	2016	08h00	M	unknown	Unprovoked	Limbs bitten	White shark
AUSTRALIA	New South Wales	First Sun Beach, Byron Bay	Apr	2016	12h00	M	12	Unprovoked	Puncture wounds	Wobbegong shark
FRENCH POLYNESIA	Tuamotos	Makemo Atoll	Apr	2016	unknown	M	26	Provoked	Lacerations	Grey reef shark, 2 m
USA	Florida	Off Singer Island, Palm Beach County	Apr	2016	unknown	M	26	Unprovoked	Limbs bitten	Bull shark, 7'
NEW CALEDONIA	Grand Terre	Poe Beach	Apr	2016	10h45	F	69	Unprovoked	Lethal	Tiger shark, 2.5 m
USA	Florida	Florida Keys, Monroe County	Mar	2016	unknown	M	34	Unprovoked	Limbs bitten	5' to 6' shark
USA	Hawaii	Olowalu, Maui	Mar	2016	11h00	F	46	Unprovoked	Minor injury	unknown
AUSTRALIA	New South Wales	Bombo Beach	Mar	2016	19h00	M	22	Unprovoked	Minor injury	unknown
USA	Florida	Fort Myers Beach, Lee County	Mar	2016	unknown	M	Teen	Unprovoked	Minor injury	Shark involvement not confirmed
AUSTRALIA	New South Wales	North Cronulla Beach	Mar	2016	11h00	M	41	Unprovoked	Minor injury	unknown
BAHAMAS	unknown	unknown	Mar	2016	unknown	M	9	Provoked	Minor injury	Nurse shark, 2.5-ft
USA	Florida	Vero Beach, St. Lucie County	Mar	2016	13h30	M	19	Unprovoked	Lacerations	unknown
Fiji	Vanua Levu	unknown	Feb	2016	Afternoon	M	45	Unprovoked	Lethal	unknown
USA	Florida	Ocean Reef Park, Singer Island, Palm Beach County	Feb	2016	Afternoon	M	12	Unprovoked	Minor injury	unknown
AUSTRALIA	South Australia	Wrights Bay	Feb	2016	Midnight	M	unknown	Unprovoked	Puncture wounds	Bronze whaler
BRAZIL	Santa Catarina State	Escalerio Beach Balneário Camboriú	Feb	2016	unknown	M	41	Unprovoked	Minor injury	Sandtiger shark
NEW CALEDONIA	South Province	Ricaudy Reef, Noumea	Feb	2016	19h00	M	21	Unprovoked	Puncture wounds	unknown
NEW CALEDONIA	South Province	Yate	Jan	2016	16h00	M	31	Unprovoked	Limbs bitten	unknown
DOMINICAN REPUBLIC	Altagracia Province	Bavaro Beach, Punta Cana	Jan	2016	15h00	F	unknown	Unprovoked	Minor injury	unknown
AUSTRALIA	Queensland	Stradbroke Island	Jan	2016	13h20	F	45	Unprovoked	Minor injury	unknown
AUSTRALIA	New South Wales	Hams Beach	Jan	2016	Late afternoon	M	40	Unprovoked	Limbs bitten	unknown
SOUTH AFRICA	KwaZulu-Natal	unknown	Jan	2016	unknown	M	unknown	Boat	Minor injury	unknown
USA	Hawaii	Hanalei Bay, Kauai	Jan	2016	14h00	M	unknown	Unprovoked	Lacerations	Reef shark, 5'
USA	Hawaii	Hanalei Bay, Kauai, 	Jan	2016	11h30	F	15	Unprovoked	Minor injury	unknown
USA	Texas	Off Surfside	Dec	2016	09h30 / 10h00	M	unknown	Unprovoked	Minor injury	Bull sharks x 2
UNITED ARAB EMIRATES	Fujairah Emirate	35 miles off Fujairah	Dec	2016	unknown	M	unknown	Boat	Minor injury	Mako shark
USA	Hawaii	Wailea Beach, Maui	Dec	2016	Morning	M	48	Unprovoked	Minor injury	Tiger shark, 14'
AUSTRALIA	Queensland	Happy Valley Beach, Caloundra	Dec	2016	unknown	M	unknown	Unprovoked	Lacerations	Wobbegong shark
AUSTRALIA	Queensland	Heron Island	Dec	2016	Afternoon	M	11	Unprovoked	Lacerations	Blacktip shark
AUSTRALIA	Queensland	Miall Island	Dec	2016	11h30	M	31	Unprovoked	Lacerations	3 m shark
SOUTH AFRICA	KwaZulu-Natal	Westbrook Beach	Dec	2015	Morning	M	unknown	Boat	Minor injury	White shark, 3 m
SPAIN	Grand Canary Island	Arinaga Beach, Aguimes, Gran Canaria	Dec	2015	unknown	F	38	Unprovoked	Lacerations	Silky shark, 6.5'
USA	Hawaii	La'aloa Beach Park	Dec	2015	Morning	M	71	Unprovoked	Limbs bitten	9' shark
AUSTRALIA	New South Wales	Bondi Beach	Nov	2015	07h00	M	43	Unprovoked	Minor injury	Bronze whaler shark, 6'
BRAZIL	Pernambuco	Fernano de Noronha	Nov	2015	unknown	M	32	Unprovoked	No details	Tiger shark, 1.5 m 
ARUBA	unknown	Boat capsized	Nov	2015	unknown	M	58	Unprovoked	Lethal	unknown
AUSTRALIA	New South Wales	Lake Macquarie	Nov	2015	10h30	unknown	unknown	Boat	Limbs bitten	White shark, 3.5 m
BAHAMAS	unknown	Off Andros Island	Nov	2015	unknown	M	26	Unprovoked	Limbs bitten	Bull shark
SOUTH AFRICA	Eastern Cape Province	Mpande	Nov	2015	Morning	F	22	Unprovoked	Lacerations	unknown
USA	Florida	Playalinda Beach, Brevard County	Nov	2015	Afternoon	M	unknown	Unprovoked	Minor injury	unknown
USA	Florida	Palm Beach, Palm Beach County	Oct	2015	Morning	F	unknown	Unprovoked	Minor injury	unknown
USA	Florida	Ocean Reef Park, Singer Island, Palm Beach County	Oct	2015	unknown	M	28	Unprovoked	Lacerations	Spinner shark, 7'
AUSTRALIA	New South Wales	East Ballina	Oct	2015	18h15	M	20	Unprovoked	Minor injury	Bull shark, 2.8 to 3.1 m
USA	Hawaii	Kehena Beach, Hawaii	Oct	2015	11h00	M	54	Unprovoked	Lacerations	unknown
USA	Florida	Cocoa Beach, Brevard  County	Oct	2015	14h00	F	28	Unprovoked	Minor injury	3' to 5' shark
MOZAMBIQUE	Inhambane Province	Maxixe	Oct	2015	04h00	M	19	Unprovoked	Minor injury	unknown
AUSTRALIA	Western Australia	Bald Island	Oct	2015	unknown	M	50	Unprovoked	Minor injury	unknown
USA	Hawaii	Malaka, Oahu	Oct	2015	14h50	M	10	Unprovoked	Lacerations	unknown
SOUTH AFRICA	Western Cape Province	Stil Bay	Oct	2015	15h00	M	42	Unprovoked	Lacerations	White shark, 3 to 3.5m 
USA	Florida	Playalinda Beach, Brevard County	Oct	2015	14h30	M	21	Unprovoked	Lacerations	5' shark
USA	Florida	Deerfield Beach, Broward County	Oct	2015	13h50	M	21	Unprovoked	Limbs bitten	Spinner shark, 5'
MOZAMBIQUE	Inhambane Province	Nahaduga, Inhambane Bay	Oct	2015	unknown	F	35	Unprovoked	Lethal	unknown
USA	Hawaii	Lanikai Beach, Kailua, Oahu	Oct	2015	11h30	M	44	Unprovoked	Minor injury	Tiger shark, 7'
USA	California	Off Leffingwell Landing, San Luis Obispo County	Sep	2015	11h00	M	unknown	Boat	Minor injury	Hammerhead sp.
USA	South Carolina	Shipyard Beach Club, Hilton Head Island, Beaufort County	Sep	2015	16h20	F	9	Unprovoked	Lacerations	unknown
USA	Hawaii	Leftovers, Oahu	Sep	2015	10h25	M	25	Unprovoked	Minor injury	Tiger shark, 13' 
MOZAMBIQUE	Inhambane Province	Maxixe, Inhambane Bay	Sep	2015	unknown	M	unknown	Unprovoked	Minor injury	unknown
AUSTRALIA	Western Australia	Pyramids Beach	Sep	2015	16h50	M	18	Unprovoked	Minor injury	unknown
USA	Florida	Pepper Park Beach, St. Lucie County	Sep	2015	13h00	M	22	Unprovoked	Lacerations	unknown
USA	Texas	Galveston	Sep	2015	10h00	M	13	Unprovoked	Limbs bitten	4' to 5' shark
USA	Florida	New Smyrna Beach, Volusia County	Sep	2015	08h30	M	14	Unprovoked	Lacerations	Blacktip shark, 4' to 5'
USA	Florida	Vilano Beach, St.  Johns County	Sep	2015	16h20	M	22	Unprovoked	Lacerations	Blacktip shark, 5' to 6'
AUSTRALIA	Queensland	Russel Island, Frankland Group	Sep	2015	Afternoon	F	7	Unprovoked	Lacerations	unknown
USA	California	Horseshoe Rock, Santa Barbara County	Sep	2015	10h45-11h15	M	unknown	Unprovoked	Minor injury	White shark, 19'
USA	Florida	New Smyrna Beach, Volusia County	Sep	2015	16h45	M	14	Unprovoked	Minor injury	juvenile shark
USA	Hawaii	Upolu Point, North Kohala, Big Island	Sep	2015	15h52	M	27	Unprovoked	Lacerations	Tiger shark, 13'
USA	Florida	Fernandina Beach, Amelia Island, Nassau County	Sep	2015	12h30	M	12	Unprovoked	Minor injury	4' shark
USA	Florida	Vilano Beach, St.  Johns County	Sep	2015	07h30	M	16	Unprovoked	Minor injury	unknown
USA	Florida	Big Talbot Island, Duval County	Sep	2015	19h00	M	unknown	Unprovoked	Lacerations	unknown
USA	Florida	Jacksonville Beach, Duval County	Aug	2015	15h00	M	20	Unprovoked	Minor injury	unknown
AUSTRALIA	New South Wales	North Shelly Beach	Aug	2015	06h15	M	42	Unprovoked	Lacerations	6' shark
USA	California	El Pescador Beach, Los Angeles County	Aug	2015	17h30	F	50	Unprovoked	Minor injury	White shark, 11' to 12'
USA	California	Deer Creek Beach, Ventura County	Aug	2015	14h40	M	29	Provoked	Lacerations	Hammerhead shark.
AUSTRALIA	New South Wales	Hallidays Point	Aug	2015	11h30	M	62	Unprovoked	No injury	White shark, 2.5 m
USA	South Carolina	Myrtle Beach, Horry County	Aug	2015	16h00	M	unknown	Unprovoked	Limbs bitten	4' shark?
THAILAND	Phuket	Karon Beach	Aug	2015	08h30	F	37	Unprovoked	Limbs bitten	small shark
FIJI	unknown	unknown	Jul	2015	unknown	M	unknown	Unprovoked	Limbs bitten	Tiger shark
USA	California	Morro Strand State Beach, San Luis Obispo County	Jul	2015	10h25	F	54	Unprovoked	Limbs bitten	White shark, 11' to 12'
USA	California	Morro Bay, San Luis Obispo County	Jul	2015	10h00	M	21	Unprovoked	Minor injury	White shark, 10' to 12' 
AUSTRALIA	New South Wales	Lighthouse Beach	Jul	2015	17h10	M	38	Unprovoked	Lacerations	unknown
USA	South Carolina	Murrells Inlet, Georgetown County	Jul	2015	12h30	M	15	Unprovoked	Minor injury	4' shark
USA	Florida	Jacksonville Beach, Duval County	Jul	2015	15h30	F	10	Unprovoked	Lacerations	3' shark
USA	California	Santa Barbara County	Jul	2015	07h30	M	22	Unprovoked	Limbs bitten	White shark, 13'
