,Case Number,Year,Country,Activity,Sex,Age,Fatal (Y/N)
158,2015.08.18.b,2015,USA,Kayak Fishing,M,22.0,N
159,2015.08.18.a,2015,SPAIN,Swimming,M,10.0,N
160,2015.08.10,2015,USA,Spearfishing,M,57.0,N
161,2015.07.31,2015,AUSTRALIA,Surfing,M,52.0,N
162,2015.07.26.b,2015,USA,Surfing,M,25.0,N
163,2015.07.26.a,2015,USA,Floating,F,35.0,N
164,2015.07.25,2015,AUSTRALIA,Scallop diving on hookah,M,46.0,Y
165,2015.07.23.b,2015,USA,Kayak Fishing,M,31.0,N
166,2015.07.23.a,2015,AUSTRALIA,Surfing,M,,N
167,2015.07.22,2015,REUNION,Surfing,M,45.0,N
168,2015.07.19,2015,SOUTH AFRICA,Surfing,M,34.0,N
169,2015.07-10,2015,USA,Surfing,M,38.0,N
170,2015.07.08,2015,USA,Treading water,M,39.0,N
171,2015.07.06,2015,FRENCH POLYNESIA,Swimming,M,,N
172,2015.07.04.b,2015,BAHAMAS,Spearfishing,F,23.0,N
173,2015.07.04.a,2015,USA,,M,32.0,N
174,2015.07.03,2015,AUSTRALIA,Surfing,M,52.0,N
175,2015.07.02,2015,AUSTRALIA,Body boarding ,M,32.0,N
176,2015.07.01,2015,USA,Swimming,M,68.0,N
177,2015.06.30.b,2015,AUSTRALIA,Surfing,M,,N
178,2015.06.30.a,2015,USA,Playing in the water,M,12.0,N
179,2015.06.27.b,2015,USA,Swimming,M,18.0,N
180,2015.06.27.a,2015,SOUTH AFRICA,Body Boarding,M,19.0,N
181,2015.06.26.c,2015,USA,Swimming,F,,N
182,2015.06.26.b,2015,SOUTH AFRICA,Surfing,M,23.0,N
183,2015.06.26.a,2015,USA,Standing,M,43.0,N
184,2015.06.25.R,2015,AUSTRALIA,Swimming,M,19.0,N
185,2015.06.25,2015,USA,Body surfing?,M,47.0,N
186,2015.06.24.b,2015,USA,Swimming,M,6.0,N
187,2015.06.24.a,2015,AUSTRALIA,Surfing,F,37.0,N
188,2015.06.23,2015,USA,Standing,M,9.0,N
189,2015.06.19,2015,PUERTO RICO,Spearfishing,M,36.0,N
190,2015.06.17,2015,USA,Swimming,M,10.0,N
191,2015.06.14.b,2015,USA,Wading,M,16.0,N
192,2015.06.14.a,2015,USA,Wading,F,12.0,N
193,2015.06.13,2015,USA,,F,,N
194,2015.06.11,2015,USA,Boogie boarding,F,13.0,N
195,2015.06.07,2015,USA,Playing,M,11.0,N
196,2015.06.05,2015,USA,Attempting to rescue a shark,F,17.0,N
197,2015.06.01,2015,REUNION,Surfing,M,47.0,N
198,2015.05.29.b,2015,USA,Standing,F,14.0,N
199,2015.05.29.a,2015,USA,Wading,F,19.0,N
200,2015.05.25,2015,FRENCH POLYNESIA,Spearfishing,M,19.0,N
201,2015.05.24,2015,USA,Swimming,F,13.0,N
202,2015.05.20,2015,USA,Surfing,M,18.0,N
203,2015.05.15,2015,USA,,M,30.0,N
204,2015.05.09,2015,NEW CALEDONIA,Snorkeling,M,50.0,Y
205,2015.05.07,2015,USA,Swimming,M,,N
206,2015.05.03,2015,AUSTRALIA,Surfing,M,,N
207,2015.05.02,2015,SOUTH AFRICA,Diving,M,29.0,N
208,2015.04.29,2015,USA,Snorkeling,F,65.0,Y
209,2015.04.26,2015,USA,Wading,M,63.0,N
210,2015.04.25,2015,AUSTRALIA,Surfing,M,26.0,N
211,2015.04.24.c,2015,AUSTRALIA,Surf skiing ,M,71.0,N
212,2015.04.13,2015,USA,Photographing the shark,M,48.0,N
213,2015.04.11,2015,AUSTRALIA,Paddle boarding,M,,N
214,2015.04.12,2015,REUNION,Surfing,M,13.0,Y
215,2015.03.31,2015,BRAZIL,Surfing,M,23.0,N
216,2015.04.03,2015,USA,Spearfishing,M,70.0,N
217,2015.03.29,2015,ITALY,Diving,M,43.0,Y
218,2015.03.26,2015,SOUTH AFRICA,Kayak Fishing,M,36.0,N
219,2015.03.21,2015,EGYPT,Swimming,M,52.0,Y
220,2015.03.18,2015,USA,Standing / Snorkeling,M,58.0,N
221,2015.03.16,2015,FRENCH POLYNESIA,Hand feeding sharks,M,9.0,N
222,2015.03.11,2015,AUSTRALIA,Fishing,M,,N
223,2015.03.10,2015,MEXICO,Fishing,M,36.0,N
224,2015.03.07,2015,FRENCH POLYNESIA,Sitting in the water,M,,N
225,2015.02.15,2015,ATLANTIC OCEAN,Transatlantic Rowing,,,N
226,2015.02.14,2015,REUNION,Swimming,F,22.0,Y
227,2015.02.09,2015,AUSTRALIA,Surfing,M,41.0,Y
228,2015.02.08,2015,AUSTRALIA,Surfing,M,35.0,N
229,2015.02.05,2015,AUSTRALIA,Bodysurfing,M,,N
230,2015.01.30,2015,AUSTRALIA,Rowing,M,57.0,N
231,2015.01.27,2015,USA,Shark fishing,M,20.0,N
232,2015.01.24,2015,AUSTRALIA,Surfing,M,,N
233,2015.01.19.b,2015,USA,Fishing,M,,N
234,2015.01.19.a,2015,AUSTRALIA,Surfing & filming dolphins,F,,N
235,2015.01.17,2015,AUSTRALIA,Fishing,M,,N
236,2015.01.16,2015,AUSTRALIA,Filming,M,17.0,N
237,2015.01.08,2015,USA,Swimming after falling overboard,M,38.0,N
238,2015.01.06,2015,BAHAMAS,Snorkeling,F,34.0,N
239,2015.01.03,2015,SOUTH AFRICA,Surfing,M,15.0,N
240,2015.01.01,2015,USA,,M,12.0,N
241,2014.12.29.b,2014,AUSTRALIA,Surfing,,,N
242,2014.12.29.a,2014,AUSTRALIA,Spearfishing,M,17.0,Y
243,2014.12.28.d,2014,GREECE,,,,N
244,2014.12.28.c,2014,SOUTH AFRICA,Swimming,,,N
245,2014.12.28.b,2014,USA,Surfing,M,50.0,N
246,2014.12.28.a,2014,AUSTRALIA,Fishing,M,,N
247,2014.12.23.R,2014,JAPAN,Diving / Filming,M,,N
248,2014.12.15,2014,AUSTRALIA,Spearfishing,M,17.0,Y
249,2014.12.03.R,2014,SPAIN,Fishing for blue sharks,M,,N
250,2014.11.29,2014,AUSTRALIA,Surfing,M,13.0,N
251,2014.11.20,2014,MAURITIUS,Fishing,M,39.0,Y
252,2014.11.19,2014,AUSTRALIA,Fishing,M,,N
253,2014.11.16,2014,USA,Surfing,M,44.0,N
254,2014.11.17,2014,USA,,,,N
255,2014.11.13,2014,USA,Snorkeling,M,53.0,N
256,2014.11.10,2014,AUSTRALIA,Surfing,M,,N
257,2014.11.08,2014,USA,Surfing,M,18.0,N
258,2014.10.31,2014,USA,Surfing,F,34.0,N
259,2014.10.30,2014,AUSTRALIA,Surfing,M,20.0,N
260,2014.10.22,2014,USA,Stand-Up Paddleboarding,F,,N
261,2014.10.20,2014,USA,Stand-Up Paddleboarding,M,,N
262,2014.10.19,2014,USA,Canoeing,F,,N
263,2014.10.18,2014,USA,Surfing,M,,N
264,2014.10.17,2014,AUSTRALIA,Surfing,F,13.0,N
265,2014.10.14,2014,USA,Standing in inner tube,F,7.0,N
266,2014.10.12,2014,USA,Body surfing or Boogie boarding,F,,N
267,2014.10.07,2014,USA,Fishing,F,40.0,N
268,2014.10.11,2014,AUSTRALIA,Kayaking,M,,N
269,2014.10.05.b,2014,USA,Surfing,M,29.0,N
270,2014.10.05.a,2014,USA,Surfing,M,15.0,N
271,2014.10.03.b,2014,USA,Kayaking,M,,N
272,2014.10.03.a,2014,USA,Kayaking ,M,,N
273,2014.10.02.b,2014,USA,Surfing,M,28.0,N
274,2014.10.02.a,2014,AUSTRALIA,Surfing,M,23.0,N
275,2014.09.21,2014,USA,Surfing,M,,N
276,2014.09.13.R,2014,FRENCH POLYNESIA,Feeding fish,F,36.0,N
277,2014.09.13,2014,USA,Surfing,M,,N
278,2014.09.09,2014,AUSTRALIA,Swimming,M,50.0,Y
279,2014.09.06,2014,USA,Fishing ,M,43.0,N
280,2014.09.03,2014,USA,Kayaking ,F,,N
281,2014.09.02,2014,USA,Fishing,M,52.0,N
282,2014.09.00,2014,SPAIN,Playing with an air mattress,M,16.0,N
283,2014.08.31,2014,USA,Body surfing,F,13.0,N
284,2014.08.29.b,2014,USA,Surfing,M,17.0,N
285,2014.08.29.a,2014,USA,,,,N
286,2014.08.28,2014,USA,Fishing,M,33.0,N
287,2014.08.27.c,2014,SPAIN,Swimming,F,,N
288,2014.08.27.b,2014,USA,Surfing,M,29.0,N
289,2014.08.27.a,2014,USA,Standing,F,,N
290,2014.08.25,2014,USA,Fishing for sharks,M,,N
291,2014.08.24,2014,USA,Kite boarding,,,N
292,2014.08.16,2014,AUSTRALIA,Spearfishing,M,31.0,N
293,2014.08.12,2014,USA,Standing,M,,N
294,2014.08.10,2014,USA,,M,26.0,N
295,2014.08.09.R,2014,BAHAMAS,Spearfishing,M,,N
296,2014.08.09,2014,USA,Swimming,F,10.0,N
297,2014.08.08,2014,USA,Swimming,M,7.0,N
298,2014.08.06,2014,USA,Boogie boarding,M,10.0,N
299,2014.08.05,2014,USA,Swimming,F,45.0,N
300,2014.08.02,2014,USA,Surfing,M,,N
301,2014.08.02,2014,USA,Boogie boarding,M,8.0,N
302,2014.08.01,2014,SOUTH AFRICA,Surfing,M,20.0,N
303,2014.08.00,2014,,Sea disaster,M,,Y
304,2014.07.27,2014,USA,Swimming,M,,N
305,2014.07.22,2014,REUNION,Surfing,M,51.0,N
306,2014.07.21,2014,USA,Standing,M,8.0,N
