,Country,Year,Hemisphere,Season,Date,Case Number,Fatal (Yes/No),pdf,href formula
4421,PANAMA,1944,Northern Hemisphere,Spring,04-May-44,1944.05.04,Y,1944.05.04.a-seaman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.05.04.a-seaman.pdf
4422,NICARAGUA,1944,Northern Hemisphere,Spring,Apr-44,1944.04.00,Y,1944.04.00-LakeNicaragua.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.04.00-LakeNicaragua.pdf
4423,SOUTH AFRICA,1944,Southern Hemisphere,Summer,26-Mar-44,1944.03.26.b,N,1944.03.26.b-Botha.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.03.26.b-Botha.pdf
4424,SOUTH AFRICA,1944,Southern Hemisphere,Summer,26-Mar-44,1944.03.26.a,Y,1944.03.26.a-Best.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.03.26.a-Best.pdf
4425,SOUTH AFRICA,1944,Southern Hemisphere,Summer,14-Mar-44,1944.03.14,N,1944.03.14-Field.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.03.14-Field.pdf
4426,SOUTH AFRICA,1944,Southern Hemisphere,Summer,27-Feb-44,1944.02.27,N,1944.02.27-LeBlanc.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.02.27-LeBlanc.pdf
4427,INDIA,1944,Northern Hemisphere,Winter,18-Feb-44,1944.02.18,Y,1944.02.18-Madras.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.02.18-Madras.pdf
4428,SOUTH AFRICA,1944,Southern Hemisphere,Summer,20-Jan-44,1944.01.20,Y,1944.01.20-Bunn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.01.20-Bunn.pdf
4429,AUSTRALIA,1944,Southern Hemisphere,Summer,16-Jan-44,1944.01.16,N,1944.01.16-dinghy-Cottesloe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.01.16-dinghy-Cottesloe.pdf
4430,AUSTRALIA,1944,Southern Hemisphere,Summer,14-Jan-44,1944.01.14,N,1944.01.14-Weir.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.01.14-Weir.pdf
4431,SOUTH AFRICA,1944,Southern Hemisphere,Summer,04-Jan-44,1944.01.04,Y,1944.01.04-Selby.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.01.04-Selby.pdf
4432,,1944,nan,Fall,Some time between Apr & Nov-1944,1944.00.00.c,Y,1944.00.00.c-Nebatari'sCompanion.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.00.00.c-Nebatari'sCompanion.pdf
4433,ITALY,1944,Northern Hemisphere,1944,1944,1944.00.00.b,Y,1944.00.00.b-B-24 crew.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.00.00.b-B-24 crew.pdf
4434,NEW GUINEA,1944,Southern Hemisphere,1944,1944,1944.00.00.a,Y,1944.00.00.a-Ward crew.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1944.00.00.a-Ward crew.pdf
4435,SOUTH AFRICA,1943,Southern Hemisphere,Spring,12-Dec-43,1943.12.12,Y,1943.12.12-Matthews.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/1943.12.12-Matthews.pdf
