,Country,Year,Hemisphere,Season,Date,Case Number,Fatal (Yes/No),pdf,href formula
0,USA,2016,Northern Hemisphere,Summer,18-Sep-16,2016.09.18.c,N,2016.09.18.c-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.c-NSB.pdf
1,USA,2016,Northern Hemisphere,Summer,18-Sep-16,2016.09.18.b,N,2016.09.18.b-Luciano.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.b-Luciano.pdf
2,USA,2016,Northern Hemisphere,Summer,18-Sep-16,2016.09.18.a,N,2016.09.18.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.18.a-NSB.pdf
3,AUSTRALIA,2016,Southern Hemisphere,Winter,17-Sep-16,2016.09.17,N,2016.09.17-Angiolella.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.17-Angiolella.pdf
5,AUSTRALIA,2016,Southern Hemisphere,Winter,15-Sep-16,2016.09.15.R,N,2016.09.15.R-boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.15.R-boat.pdf
6,USA,2016,Northern Hemisphere,Summer,11-Sep-16,2016.09.11,N,2016.09.11-PonteVedra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.11-PonteVedra.pdf
7,USA,2016,Northern Hemisphere,Summer,07-Sep-16,2016.09.07,N,2016.09.07-Oahu.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.07-Oahu.pdf
8,NEW CALEDONIA,2016,Southern Hemisphere,Winter,06-Sep-16,2016.09.06,Y,2016.09.06-Jewell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.06-Jewell.pdf
9,USA,2016,Northern Hemisphere,Summer,05-Sep-16,2016.09.05.b,N,2016.09.05.b-Williams.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.b-Williams.pdf
10,AUSTRALIA,2016,Southern Hemisphere,Winter,05-Sep-16,2016.09.05.a,N,2016.09.05.a-Penman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.05.a-Penman.pdf
11,USA,2016,Northern Hemisphere,Summer,04-Sep-16,2016.09.04,N,2016.09.04-Moore.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.04-Moore.pdf
12,USA,2016,Northern Hemisphere,Summer,01-Sep-16,2016.09.01,N,2016.09.01-McQuillen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.09.01-McQuillen.pdf
13,USA,2016,Northern Hemisphere,Summer,29-Aug-16,2016.08.29.b,N,2016.08.29.b-Cumiskey.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.b-Cumiskey.pdf
14,USA,2016,Northern Hemisphere,Summer,29-Aug-16,2016.08.29.a,N,2016.08.29.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.29.a-NSB.pdf
15,REUNION,2016,Southern Hemisphere,Winter,27-Aug-16,2016.08.27,N,2016.08.27-Chardard.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.27-Chardard.pdf
16,USA,2016,Northern Hemisphere,Summer,25-Aug-16,2016.08.25,N,2016.08.25-Cassetty.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.25-Cassetty.pdf
17,BAHAMAS,2016,Northern Hemisphere,Summer,07-Aug-16,2016.08.07,N,2016.08.07-Stoch.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.07-Stoch.pdf
18,USA,2016,Northern Hemisphere,Summer,06-Aug-16,2016.08.06,N,2016.08.06-Baxter.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.08.06-Baxter.pdf
19,USA,2016,Northern Hemisphere,Summer,04-Aug-16,2016.08.04,N,2016.06.04-Tyler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Tyler.pdf
21,CHINA,2016,Northern Hemisphere,Summer,28-Jul-16,2016.07.28.R,N,2016.07.28.R-Franz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28.R-Franz.pdf
22,AUSTRALIA,2016,Southern Hemisphere,Winter,28-Jul-16,2016.07.28,N,2016.07.28-Watkins.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.28-Watkins.pdf
23,USA,2016,Northern Hemisphere,Summer,27-Jul-16,2016.07.27,N,2016.07.27-Sapp.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.27-Sapp.pdf
24,AUSTRALIA,2016,Southern Hemisphere,Winter,26-Jul-16,2016.07.26,N,2016.07.26-Ballina.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.26-Ballina.pdf
25,JAPAN,2016,Northern Hemisphere,Summer,24-Jul-16,2016.07.24,N,2016.07.24-Japan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.24-Japan.pdf
26,AUSTRALIA,2016,Southern Hemisphere,Winter,23-Jul-16,2016.07.23.b,N,2016.07.23.b-Critchlow.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.23.b-Critchlow.pdf
28,AUSTRALIA,2016,Southern Hemisphere,Winter,20-Jul-16,2016.07.20,N,2016.07.20-Burck.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.20-Burck.pdf
29,USA,2016,Northern Hemisphere,Summer,17-Jul-16,2016.07.17,N,2016.07.17-Gulf.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.17-Gulf.pdf
30,USA,2016,Northern Hemisphere,Summer,16-Jul-16,2016.07.16.b,N,2016.07.16.b-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.b-NSB.pdf
31,USA,2016,Northern Hemisphere,Summer,16-Jul-16,2016.07.16.a,N,2016.07.16.a-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.16.a-NSB.pdf
32,USA,2016,Northern Hemisphere,Summer,15-Jul-16,2016.07.15,N,2016.07.14-MyrtleBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.14-MyrtleBeach.pdf
34,SPAIN,2016,Northern Hemisphere,Summer,Reported 08-Jul-2016,2016.07.08.R,N,2016.07.08.R-Spain.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08.R-Spain.pdf
35,USA,2016,Northern Hemisphere,Summer,08-Jul-16,2016.07.08,N,2016.07.08-CapitolaBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.08-CapitolaBoat.pdf
36,USA,2016,Northern Hemisphere,Summer,07-Jul-16,2016.07.07.b,N,2016.07.07.b-Brissom.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.b-Brissom.pdf
37,USA,2016,Northern Hemisphere,Summer,07-Jul-16,2016.07.07.a,N,2016.07.07.a-PoeBoat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.07.a-PoeBoat.pdf
38,USA,2016,Northern Hemisphere,Summer,06-Jul-16,2016.07.06,N,2016.07.06-Njwoman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.06-Njwoman.pdf
39,AUSTRALIA,2016,Southern Hemisphere,Winter,04-Jul-16,2016.07.04,N,2016.07.04-Oliver.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.07.04-Oliver.pdf
40,USA,2016,Northern Hemisphere,Spring,27-Jun-16,2016.06.27,N,2016.06.27-Sullivans.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.27-Sullivans.pdf
41,USA,2016,Northern Hemisphere,Spring,25-Jun-16,2016.06.25,N,2016.06.25-AtlanticBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.25-AtlanticBeach.pdf
42,COLUMBIA,2016,Northern Hemisphere,Spring,24-Jun-16,2016.06.24,N,2016.06.24-Velez.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.24-Velez.pdf
43,SOUTH AFRICA,2016,Southern Hemisphere,Fall,23-Jun-16,2016.06.23,N,2016.06.23-Rysport.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.23-Rysport.pdf
44,USA,2016,Northern Hemisphere,Spring,21-Jun-16,2016.06.21.b,N,2016.06.21.b-Schott.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.b-Schott.pdf
45,USA,2016,Northern Hemisphere,Spring,21-Jun-16,2016.06.21.a,N,2016.06.21.a-SatelliteBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.21.a-SatelliteBeach.pdf
46,USA,2016,Northern Hemisphere,Spring,15-Jun-16,2016.06.15.b,N,2016.06.15.b-Kauai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.b-Kauai.pdf
47,AUSTRALIA,2016,Southern Hemisphere,Fall,15-Jun-16,2016.06.15.a,N,2016.06.15.a-Vale.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.15.a-Vale.pdf
48,USA,2016,Northern Hemisphere,Spring,14-Jun-16,2016.06.14,N,2016.06.14-Melton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.14-Melton.pdf
49,USA,2016,Northern Hemisphere,Spring,11-Jun-16,2016.06.11,N,2016.06.11-Bowen.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.11-Bowen.pdf
50,USA,2016,Northern Hemisphere,Spring,07-Jun-16,2016.06.07,N,2016.06.07-Oneill.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.07-Oneill.pdf
51,USA,2016,Northern Hemisphere,Spring,05-Jun-16,2016.06.05.b,N,2016.06.05.b-Flagler.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.b-Flagler.pdf
52,AUSTRALIA,2016,Southern Hemisphere,Fall,05-Jun-16,2016.06.05.a,Y,2016.06.05.a-Collyer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.05.a-Collyer.pdf
53,EGYPT,2016,Northern Hemisphere,Spring,04-Jun-16,2016.06.04,N,2016.06.04-Qader.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.04-Qader.pdf
54,AUSTRALIA,2016,Southern Hemisphere,Fall,02-Jun-16,2016.06.02.b,,2016.06.02.b-Matigan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.b-Matigan.pdf
55,NEW CALEDONIA,2016,Southern Hemisphere,Fall,02-Jun-16,2016.06.02.a,N,2016.06.02.a-Pierre.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.06.02.a-Pierre.pdf
56,AUSTRALIA,2016,Southern Hemisphere,Fall,31-May-16,2016.05.31,Y,2016.05.31-Gerring.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.31-Gerring.pdf
57,USA,2016,Northern Hemisphere,Spring,29-May-16,2016.05.29.b,N,2016.05.29.b-Corona.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.b-Corona.pdf
58,USA,2016,Northern Hemisphere,Spring,29-May-16,2016.05.29.a,N,2016.05.29.a-Neptune.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.29.a-Neptune.pdf
59,USA,2016,Northern Hemisphere,Spring,22-May-16,2016.05.22,N,2016.05.22-Marcus.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.22-Marcus.pdf
60,USA,2016,Northern Hemisphere,Spring,21-May-16,2016.05.21.b,N,2016.05.21.b-Magee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.21.b-Magee.pdf
62,USA,2016,Northern Hemisphere,Spring,18-May-16,2016.05.18,N,2016.05.18-Wilson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.18-Wilson.pdf
63,USA,2016,Northern Hemisphere,Spring,15-May-16,2016.05.15,N,2016.05.15-Boca.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.15-Boca.pdf
64,USA,2016,Northern Hemisphere,Spring,03-May-16,2016.05.03,N,2016.05.03-Maui.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.03-Maui.pdf
65,NEW ZEALAND,2016,Southern Hemisphere,Fall,02-May-16,2016.05.02,N,2016.05.02-NZ-pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.05.02-NZ-pdf
66,INDONESIA,2016,Southern Hemisphere,Fall,25-Apr-16,2016.04.25,N,2016.04.25-Boarman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.25-Boarman.pdf
67,USA,2016,Northern Hemisphere,Spring,23-Apr-16,2016.04.23,N,2016.04.23-Beardall.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.23-Beardall.pdf
68,SOUTH AFRICA,2016,Southern Hemisphere,Fall,22-Apr-16,2016.04.22,N,2016.04.22-Manson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.22-Manson.pdf
69,AUSTRALIA,2016,Southern Hemisphere,Fall,19-Apr-16,2016.04.19,N,2016.04.19-Kedem.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.19-Kedem.pdf
70,FRENCH POLYNESIA,2016,Southern Hemisphere,Fall,18-Apr-16,2016.04.18,N,2016.04.18-Tokoragi.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.18-Tokoragi.pdf
71,USA,2016,Northern Hemisphere,Spring,13-Apr-16,2016.04.13,N,2016.04.13-Senkowicz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.13-Senkowicz.pdf
72,NEW CALEDONIA,2016,Southern Hemisphere,Fall,09-Apr-16,2016.04.09,Y,2016.04.09-Malignon.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.09-Malignon.pdf
73,CAPE VERDE,2016,Northern Hemisphere,Spring,08-Apr-16,2016.04.08,N,2016.04.08-CapeVerde.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.08-CapeVerde.pdf
74,USA,2016,Northern Hemisphere,Spring,07-Apr-16,2016.04.07.b,N,2016.04.07.b-Lester.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.b-Lester.pdf
75,USA,2016,Northern Hemisphere,Spring,07-Apr-16,2016.04.07.a,N,2016.04.07.a-Trinidad.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.04.07.a-Trinidad.pdf
76,USA,2016,Northern Hemisphere,Winter,31-Mar-16,2016.03.31,N,2016.03.31-Orr.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.31-Orr.pdf
77,AUSTRALIA,2016,Southern Hemisphere,Summer,30-Mar-16,2016.03.30,N,2016.03.30-Connellan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.30-Connellan.pdf
78,USA,2016,Northern Hemisphere,Winter,28-Mar-16,2016.03.28.b,N,2016.03.28.b-Kawa.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.28.b-Kawa.pdf
79,AUSTRALIA,2016,Southern Hemisphere,Summer,28-Mar-16,2016.03.28.a,N,2013.03.28.a-Smyth.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2013.03.28.a-Smyth.pdf
80,BAHAMAS,2016,Northern Hemisphere,Winter,26-Mar-16,2016.03.26,N,2016.03.26-Kreckman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.26-Kreckman.pdf
81,USA,2016,Northern Hemisphere,Winter,13-Mar-16,2016.03.13,N,2016.03.13-BolsaChicaSurfer.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.13-BolsaChicaSurfer.pdf
82,USA,2016,Northern Hemisphere,Winter,11-Mar-16,2016.03.11,N,2016.03.11-Kenny.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.11-Kenny.pdf
83,FIJI,2016,Southern Hemisphere,Summer,10-Mar-16,2016.03.10,Y,2016.03.10-Tabua.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.10-Tabua.pdf
84,USA,2016,Northern Hemisphere,Winter,04-Mar-16,2016.03.04,N,2016.03.04-OCPark.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.04-OCPark.pdf
85,AUSTRALIA,2016,Southern Hemisphere,Summer,Reported 03-Mar-2016,2016.03.03.R,N,2016.03.03.R-Taplin.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.03.R-Taplin.pdf
86,BRAZIL,2016,Southern Hemisphere,Summer,02-Mar-16,2016.03.02,N,2016.03.02-Thomas.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.03.02-Thomas.pdf
87,NEW CALEDONIA,2016,Southern Hemisphere,Summer,22-Feb-16,2016.02.22,N,2016.02.22-Noumea.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.22-Noumea.pdf
88,NEW CALEDONIA,2016,Southern Hemisphere,Summer, 19-Feb-2016,2016.02.19,N,2016.02.19-NewCaledonia.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.19-NewCaledonia.pdf
89,DOMINICAN REPUBLIC,2016,Northern Hemisphere,Winter,12-Feb-16,2016.02.12,N,2016.02.12-Howe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.12-Howe.pdf
90,CAYMAN ISLANDS,2016,Northern Hemisphere,Winter,Reported 10-Feb-2016,2016.02.10.R,N,2016.02.10.R-Branson-stingray.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.10.R-Branson-stingray.pdf
91,AUSTRALIA,2016,Southern Hemisphere,Summer,10-Feb-16,2016.02.10,N,2016.02.11-NettleyBay.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.11-NettleyBay.pdf
92,AUSTRALIA,2016,Southern Hemisphere,Summer,05-Feb-16,2016.02.05,N,2016.02.05-Stradbroke.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.05-Stradbroke.pdf
93,AUSTRALIA,2016,Southern Hemisphere,Summer,04-Feb-16,2016.02.04,N,2016.02.04-Morris.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.02.04-Morris.pdf
94,SOUTH AFRICA,2016,Southern Hemisphere,Summer,29-Jan-16,2016.01.29,N,2016.01.29-DeLange.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.29-DeLange.pdf
95,USA,2016,Northern Hemisphere,Winter,28-Jan-16,2016.01.28,N,2016.01.28-Kauai.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.28-Kauai.pdf
96,USA,2016,Northern Hemisphere,Winter,25-Jan-16,2016.01.25,N,2016.01.25-Waldman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.25-Waldman.pdf
98,UNITED ARAB EMIRATES,2016,Northern Hemisphere,Winter,24-Jan-16,2016.01.24.a,N,2016.01.24.a-UAEboat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.24.a-UAEboat.pdf
99,USA,2016,Northern Hemisphere,Winter,23-Jan-16,2016.01.23,N,2016.01.23-Mason.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.23-Mason.pdf
100,AUSTRALIA,2016,Southern Hemisphere,Summer,Reported 11-Jan-2016,2016.01.11.R,N,2016.01.11.R-Hilder.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.11.R-Hilder.pdf
101,AUSTRALIA,2016,Southern Hemisphere,Summer,05-Jan-16,2016.01.05,N,2016.01.05-Davis.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.05-Davis.pdf
102,AUSTRALIA,2016,Southern Hemisphere,Summer,02-Jan-16,2016.01.02,N,2016.01.02-Countryman.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2016.01.02-Countryman.pdf
103,SOUTH AFRICA,2015,Southern Hemisphere,Spring,26-Dec-15,2015.12.26,N,2015.12.26-Wardell.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.26-Wardell.pdf
104,SPAIN,2015,Northern Hemisphere,Fall,25-Dec-15,2015.12.25,N,2015.12.25-GrandCanary.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.25-GrandCanary.pdf
105,USA,2015,Northern Hemisphere,Fall,22-Dec-15,2015.12.22,N,2015.12.22-Ford.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.22-Ford.pdf
106,AUSTRALIA,2015,Southern Hemisphere,Spring,21-Dec-15,2015.12.21.b,N,2015.12.21.b-Norburn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.21.b-Norburn.pdf
108,ARUBA,2015,Northern Hemisphere,Fall,19-Dec-15,2015.12.19,Y,2015.12.19-Aruba.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.19-Aruba.pdf
109,AUSTRALIA,2015,Southern Hemisphere,Spring,13-Dec-15,2015.12.13,N,2015.12.13-Crust-Boat.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.13-Crust-Boat.pdf
110,BAHAMAS,2015,Northern Hemisphere,Fall,11-Dec-15,2015.12.11,N,2015.12.11-Pinder.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.11-Pinder.pdf
111,SOUTH AFRICA,2015,Southern Hemisphere,Spring,08-Dec-15,2015.12.08,N,2015.12.08-Scott.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.12.08-Scott.pdf
112,USA,2015,Northern Hemisphere,Fall,16-Nov-15,2015.11.16,N,2015.11.16-Conti.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.16-Conti.pdf
113,USA,2015,Northern Hemisphere,Fall,15-Nov-15,2015.11.15.b,N,2015.11.15.b-PalmBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.15.b-PalmBeach.pdf
115,AUSTRALIA,2015,Southern Hemisphere,Spring,10-Nov-15,2015.11.10,N,2015.11.10-Morgan.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.10-Morgan.pdf
117,USA,2015,Northern Hemisphere,Fall,03-Nov-15,2015.11.03,N,2015.11.03-O'Leary.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.03-O'Leary.pdf
118,USA,2015,Northern Hemisphere,Fall,01-Nov-15,2015.11.01.b,N,2015.11.01.b-Kruse.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.b-Kruse.pdf
119,MOZAMBIQUE,2015,Northern Hemisphere,Fall,01-Nov-15,2015.11.01.a,N,2015.11.01.a-Ernesto.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.11.01.a-Ernesto.pdf
120,AUSTRALIA,2015,Southern Hemisphere,Spring,30-Oct-15,2015.10.30,N,2015.10.30-Galli.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.30-Galli.pdf
122,SOUTH AFRICA,2015,Southern Hemisphere,Spring,25-Oct-15,2015.10.25,N,2015.10.25-Anderson.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.25-Anderson.pdf
123,USA,2015,Northern Hemisphere,Fall,21-Oct-15,2015.10.21,N,2015.10.21-Playalinda.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.21-Playalinda.pdf
124,USA,2015,Northern Hemisphere,Fall,19-Oct-15,2015.10.19,N,2015.10.19-Kirn.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.19-Kirn.pdf
125,MOZAMBIQUE,2015,Northern Hemisphere,Fall,17-Oct-15,2015.10.17.c,Y,2015.10.17.c-Cavel.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.c-Cavel.pdf
126,USA,2015,Northern Hemisphere,Fall,17-Oct-15,2015.10.17.b,N,2015.10.17.b.-Hawaii. pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.b.-Hawaii. pdf
127,USA,2015,Northern Hemisphere,Fall,17-Oct-15,2015.10.17.a,N,2015.10.17.a-Lee.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.17.a-Lee.pdf
128,USA,2015,Northern Hemisphere,Fall,13-Oct-15,2015.10.13,N,2015.10.13-Pavacich-kayak.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.13-Pavacich-kayak.pdf
129,USA,2015,Northern Hemisphere,Fall,09-Oct-15,2015.10.09.b,N,2015.10.09.b-Kershner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.b-Kershner.pdf
130,USA,2015,Northern Hemisphere,Fall,09-Oct-15,2015.10.09.a,N,2015.10.09.a-Cook.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.09.a-Cook.pdf
131,MOZAMBIQUE,2015,Northern Hemisphere,Fall,08-Oct-15,2015.10.08,N,2015.10.08-Rafael.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.08-Rafael.pdf
132,AUSTRALIA,2015,Southern Hemisphere,Spring,07-Oct-15,2015.10.07,N,2015.10.07-Zawadzki.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.07-Zawadzki.pdf
133,USA,2015,Northern Hemisphere,Fall,05-Oct-15,2015.10.05.b,N,2015.10.05.b-FtPierce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.05.b-FtPierce.pdf
135,USA,2015,Northern Hemisphere,Fall,04-Oct-15,2015.10.04,N,2015.10.04-Tarasovic.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.10.04-Tarasovic.pdf
136,USA,2015,Northern Hemisphere,Summer,29-Sep-15,2015.09.29,N,2015.09.29-Morrison.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.29-Morrison.pdf
137,AUSTRALIA,2015,Southern Hemisphere,Winter,26-Sep-15,2015.09.26,N,2015.09.26-QLD.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.26-QLD.pdf
138,USA,2015,Northern Hemisphere,Summer,24-Sep-15,2015.09.24,N,2015.09.24-Kenney.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.24-Kenney.pdf
139,USA,2015,Northern Hemisphere,Summer,20-Sep-15,2015.09.20.d,N,2015.09.20.d-NSB.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.d-NSB.pdf
140,USA,2015,Northern Hemisphere,Summer,20-Sep-15,2015.09.20.c,N,2015.09.20.c-Braxton.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.c-Braxton.pdf
141,USA,2015,Northern Hemisphere,Summer,20-Sep-15,2015.09.20.b,N,2015.09.20.b-Bitner.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.b-Bitner.pdf
142,USA,2015,Northern Hemisphere,Summer,20-Sep-15,2015.09.20.a,N,2015.09.20.a-Schiavo.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.20.a-Schiavo.pdf
143,USA,2015,Northern Hemisphere,Summer,18-Sep-15,2015.09.18,N,2015.09.18-Vergenz.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.18-Vergenz.pdf
144,USA,2015,Northern Hemisphere,Summer,17-Sep-15,2015.09.17,N,2015.09.17-Liebetrau.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.17-Liebetrau.pdf
145,AUSTRALIA,2015,Southern Hemisphere,Winter,08-Sep-15,2015.09.08,N,2015.09.08-Daniels.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2015.09.08-Daniels.pdf
