case_number,date,year,country,sex,age,fatal,provoked,season
2003.07.05.a,05-Jul-03,2003,USA,M,21.0,0,0,Summer
2003.07.04,04-Jul-03,2003,BAHAMAS,M,39.0,0,0,Summer
2003.07.00.c,Jul-03,2003,USA,M,,0,0,Summer
2003.07.00.b,Late Jul-2003,2003,FRENCH POLYNESIA,M,,0,0,Summer
2003.07.00.a,Jul-03,2003,NEW ZEALAND,M,,0,0,Summer
2003.06.30,30-Jun-03,2003,USA,M,17.0,0,0,Spring
2003.06.26,26-Jun-03,2003,USA,M,15.0,0,0,Spring
2003.06.24.c,24-Jun-03,2003,BRAZIL,M,,1,0,Spring
2003.06.24.b,24-Jun-03,2003,USA,F,12.0,0,0,Spring
2003.06.24.a,24-Jun-03,2003,USA,M,60.0,0,0,Spring
2003.06.22,22-Jun-03,2003,USA,M,51.0,0,0,Spring
2003.06.19,19-Jun-03,2003,USA,M,33.0,0,0,Spring
2003.06.08,08-Jun-03,2003,USA,,15.0,0,0,Spring
2003.06.00,Jun-03,2003,USA,F,22.0,0,,Spring
2003.05.25,25-May-03,2003,USA,M,18.0,0,0,Spring
2003.05.14,14-May-03,2003,USA,M,22.0,0,0,Spring
2003.05.10,10-May-03,2003,USA,M,20.0,0,0,Spring
2003.05.07,07-May-03,2003,USA,M,34.0,0,1,Spring
2003.05.03,03-May-03,2003,USA,F,9.0,0,0,Spring
2003.05.00,May-03,2003,PHILIPPINES,,,0,0,Spring
2003.04.26,26-Apr-03,2003,BRAZIL,M,,0,1,Spring
2003.04.25,25-Apr-03,2003,BRAZIL,M,16.0,0,0,Spring
2003.04.23.b,23-Apr-03,2003,BRAZIL,M,17.0,0,0,Spring
2003.04.23.a,23-Apr-03,2003,BRAZIL,M,7.0,0,0,Spring
2003.04.21.b,21-Apr-03,2003,USA,M,36.0,0,0,Spring
2003.04.21.a,21-Apr-03,2003,USA,M,17.0,0,0,Spring
2003.04.20.c,20-Apr-03,2003,USA,M,30.0,0,0,Spring
2003.04.20.b,20-Apr-03,2003,USA,M,23.0,0,0,Spring
2003.04.20.a,20-Apr-03,2003,USA,M,18.0,0,0,Spring
2003.04.19,19-Apr-03,2003,USA,M,11.0,0,0,Spring
2003.04.18,18-Apr-03,2003,USA,M,12.0,0,0,Spring
2003.04.15,15-Apr-03,2003,USA,M,20.0,0,0,Spring
2003.04.11,11-Apr-03,2003,VENEZUELA,M,28.0,0,0,Spring
2003.04.09,09-Apr-03,2003,USA,M,,0,0,Spring
2003.04.04,04-Apr-03,2003,USA,M,50.0,0,0,Spring
2003.03.10,10-Mar-03,2003,USA,F,,0,1,Winter
2003.02.27,27-Feb-03,2003,NEW ZEALAND,M,44.0,0,0,Winter
2003.02.15.b,15-Feb-03,2003,AUSTRALIA,M,37.0,0,0,Winter
2003.02.15.a,15-Feb-03,2003,USA,M,54.0,0,0,Winter
2003.02.11,11-Feb-03,2003,AUSTRALIA,M,24.0,0,0,Winter
2003.02.08,08-Feb-03,2003,AUSTRALIA,M,84.0,1,0,Winter
2003.01.17,17-Jan-03,2003,SOUTH AFRICA,M,14.0,1,,Winter
2003.01.03,03-Jan-03,2003,COSTA RICA,M,,0,0,Winter
2003.01.02,02-Jan-03,2003,AUSTRALIA,F,,0,0,Winter
2002.12.29,29-Dec-02,2002,AUSTRALIA,F,18.0,0,0,Autnum
2002.12.24,24-Dec-02,2002,SOUTH AFRICA,M,25.0,0,0,Autnum
2002.12.21,21-Dec-02,2002,AUSTRALIA,M,26.0,0,0,Autnum
2002.12.20,20-Dec-02,2002,AUSTRALIA,M,11.0,0,,Autnum
2002.12.16,16-Dec-02,2002,AUSTRALIA,M,23.0,1,0,Autnum
2002.12.01,01-Dec-02,2002,BRAZIL,M,19.0,1,0,Autnum
2002.11.28.b,28-Nov-02,2002,MICRONESIA,M,,0,0,Autnum
2002.11.28.a,28-Nov-02,2002,USA,M,48.0,0,0,Autnum
2002.11.17,17-Nov-02,2002,USA,F,34.0,0,0,Autnum
2002.11.14,14-Nov-02,2002,TURKS & CAICOS,F,41.0,0,0,Autnum
2002.11.11,11-Nov-02,2002,USA,M,21.0,0,0,Autnum
2002.11.02,02-Nov-02,2002,USA,M,16.0,0,0,Autnum
2002.11.00.a,Nov-02,2002,FRENCH POLYNESIA,M,52.0,0,0,Autnum
2002.10.30,30-Oct-02,2002,USA,F,60.0,0,0,Autnum
2002.10.14,14-Oct-02,2002,BRAZIL,M,36.0,1,0,Autnum
2002.10.11,11-Oct-02,2002,USA,M,21.0,0,0,Autnum
2002.10.05.b,05-Oct-02,2002,USA,M,14.0,0,0,Autnum
2002.10.05.a,05-Oct-02,2002,USA,M,35.0,0,0,Autnum
2002.10.03,03-Oct-02,2002,USA,M,18.0,0,0,Autnum
2002.09.30,30-Sep-02,2002,USA,M,47.0,0,0,Summer
2002.09.29,29-Sep-02,2002,USA,M,32.0,0,0,Summer
2002.09.27.c,27-Sep-02,2002,USA,M,55.0,0,0,Summer
2002.09.27.b,27-Sep-02,2002,USA,M,,0,1,Summer
2002.09.27.a,27-Sep-02,2002,TONGA,M,,0,1,Summer
2002.09.21.b,21-Sep-02,2002,USA,M,24.0,0,0,Summer
2002.09.21.a,21-Sep-02,2002,USA,M,35.0,0,0,Summer
2002.09.16.b,16-Sep-02,2002,BRAZIL,M,19.0,0,0,Summer
2002.09.16.a,16-Sep-02,2002,USA,,,0,0,Summer
2002.09.13,13-Sep-02,2002,SOUTH AFRICA,M,47.0,0,0,Summer
2002.09.09,09-Sep-02,2002,USA,M,20.0,0,0,Summer
2002.09.05,05-Sep-02,2002,USA,M,36.0,0,1,Summer
2002.08.28,28-Aug-02,2002,USA,M,16.0,0,0,Summer
2002.08.17,17-Aug-02,2002,USA,F,29.0,0,0,Summer
2002.08.14,14-Aug-02,2002,USA,M,27.0,0,0,Summer
2002.08.11,11-Aug-02,2002,USA,M,15.0,0,0,Summer
2002.08.07,07-Aug-02,2002,USA,M,15.0,0,0,Summer
2002.08.06.R,Reported 06-Aug-2002,2002,UNITED KINGDOM,M,30.0,0,1,Summer
2002.08.05,05-Aug-02,2002,USA,M,14.0,0,0,Summer
2002.07.26,26-Jul-02,2002,USA,M,13.0,0,0,Summer
2002.07.20,20-Jul-02,2002,USA,F,15.0,0,0,Summer
2002.07.10,10-Jul-02,2002,USA,M,19.0,0,1,Summer
2002.07.09.b,09-Jul-02,2002,USA,M,41.0,1,1,Summer
2002.07.09.a,10-Jul-02,2002,BRAZIL,M,22.0,0,0,Summer
2002.07.04,04-Jul-02,2002,USA,F,9.0,0,0,Summer
2002.06.20.b,20-Jun-02,2002,AUSTRALIA,M,30.0,0,0,Spring
2002.06.20.a,20-Jun-02,2002,USA,F,11.0,0,0,Spring
2002.06.16,16-Jun-02,2002,INDONESIA,,,1,,Spring
2002.06.13.R2,Reported 13-Jun-2002,2002,PAPUA NEW GUINEA,,,0,0,Spring
2002.06.13.R1,Reported 13-Jun-2002,2002,PAPUA NEW GUINEA,,,1,0,Spring
2002.06.11.b,11-Jun-02,2002,USA,,,0,0,Spring
2002.06.11.a,10-Jun-02,2002,USA,M,28.0,0,0,Spring
2002.06.09.b,09-Jun-02,2002,USA,M,50.0,0,0,Spring
2002.06.09.a,09-Jun-02,2002,USA,M,10.0,0,0,Spring
2002.06.03,03-Jun-02,2002,SOUTH AFRICA,M,50.0,0,0,Spring
2002.05.31.b,31-May-02,2002,USA,M,24.0,0,0,Spring
2002.05.31.a,31-May-02,2002,USA,M,16.0,0,0,Spring
2002.05.22.b,22-May-02,2002,USA,M,55.0,0,1,Spring
2002.05.22.a,22-May-02,2002,USA,M,35.0,0,0,Spring
2002.05.21.R,Reported 21-May-2002,2002,COSTA RICA,M,,0,0,Spring
2002.05.21,21-May-02,2002,PAPUA NEW GUINEA,M,14.0,0,0,Spring
2002.05.13,13-May-02,2002,USA,M,31.0,0,0,Spring
2002.05.10,10-May-02,2002,BRAZIL,M,40.0,0,0,Spring
2002.05.07,07-May-02,2002,AUSTRALIA,M,20.0,0,1,Spring
2002.04.30,30-Apr-02,2002,AUSTRALIA,M,23.0,1,0,Spring
2002.04.21,21-Apr-02,2002,AUSTRALIA,M,52.0,1,,Spring
2002.04.20,20-Apr-02,2002,USA,M,34.0,0,0,Spring
2002.04.18,18-Apr-02,2002,USA,M,28.0,0,0,Spring
2002.04.12,12-Apr-02,2002,AUSTRALIA,M,45.0,0,0,Spring
2002.04.09,09-Apr-02,2002,BAHAMAS,M,43.0,0,0,Spring
2002.04.02,02-Apr-02,2002,USA,M,41.0,0,0,Spring
2002.04.01,01-Apr-02,2002,USA,M,29.0,0,0,Spring
2002.03.25.b,25-Mar-02,2002,USA,M,17.0,0,0,Winter
2002.03.25.a,25-Mar-02,2002,USA,F,11.0,0,0,Winter
2002.03.24,24-Mar-02,2002,BRAZIL,M,16.0,1,0,Winter
2002.03.19,19-Mar-02,2002,USA,M,20.0,0,0,Winter
2002.03.15.b,15-Mar-02,2002,USA,M,39.0,0,0,Winter
2002.03.15.a,15-Mar-02,2002,USA,M,31.0,0,0,Winter
2002.03.03,03-Mar-02,2002,NEW CALEDONIA,M,44.0,1,,Winter
2002.02.23,23-Feb-02,2002,TURKS & CAICOS,M,,1,0,Winter
2002.02.16,16-Feb-02,2002,AUSTRALIA,M,,0,0,Winter
2002.02.11,11-Feb-02,2002,FIJI,M,15.0,1,0,Winter
2002.02.07,07-Feb-02,2002,AUSTRALIA,M,35.0,0,0,Winter
2002.01.30.b,30-Jan-02,2002,AUSTRALIA,M,20.0,0,0,Winter
2002.01.30.a,30-Jan-02,2002,AUSTRALIA,M,32.0,0,0,Winter
2002.01.04,04-Jan-02,2002,SOUTH AFRICA,M,16.0,0,0,Winter
2002.01.03,03-Jan-02,2002,BRAZIL,,,1,0,Winter
2002.01.01.b,01-Jan-02,2002,SOUTH AFRICA,M,26.0,0,0,Winter
2002.01.01.a,01-Jan-02,2002,USA,M,35.0,0,0,Winter
2001.12.21,21-Dec-01,2001,AUSTRALIA,M,36.0,0,,Autnum
2001.11.23,23-Nov-01,2001,AUSTRALIA,M,49.0,0,0,Autnum
2001.11.14,14-Nov-01,2001,USA,,,0,0,Autnum
2001.11.07,07-Nov-01,2001,AUSTRALIA,M,,0,,Autnum
2001.10.07,07-Oct-01,2001,SOUTH AFRICA,M,,0,0,Autnum
2001.10.02,02-Oct-01,2001,AUSTRALIA,F,20.0,0,0,Autnum
2001.09.30.b,30-Sep-01,2001,MEXICO,M,26.0,0,0,Summer
2001.09.30.a,30-Sep-01,2001,AUSTRALIA,M,31.0,0,,Summer
2001.09.24,24-Sep-01,2001,USA,M,21.0,0,1,Summer
2001.09.18,18-Sep-01,2001,USA,M,14.0,0,0,Summer
2001.09.16,16-Sep-01,2001,USA,M,42.0,1,,Summer
2001.09.15.b,15-Sep-01,2001,USA,M,,0,0,Summer
2001.09.15.a,15-Sep-01,2001,USA,M,16.0,0,0,Summer
2001.09.13,13-Sep-01,2001,UNITED KINGDOM,M,,0,1,Summer
2001.09.08,08-Sep-01,2001,USA,M,44.0,0,1,Summer
2001.09.07.b,07-Sep-01,2001,USA,M,13.0,0,0,Summer
2001.09.07.a,07-Sep-01,2001,USA,F,,0,,Summer
2001.09.03.b,03-Sep-01,2001,USA,M,28.0,1,0,Summer
2001.09.03.a,03-Sep-01,2001,USA,F,23.0,0,0,Summer
2001.09.02,02-Sep-01,2001,USA,M,20.0,0,0,Summer
2001.09.01,01-Sep-01,2001,USA,M,10.0,1,0,Summer
2001.08.31,31-Aug-01,2001,BAHAMAS,M,44.0,0,0,Summer
2001.08.29,29-Aug-01,2001,USA,F,29.0,0,0,Summer
2001.08.27,27-Aug-01,2001,USA,M,69.0,0,0,Summer
2001.08.26,26-Aug-01,2001,USA,M,18.0,0,0,Summer
2001.08.25,25-Aug-01,2001,USA,M,18.0,0,0,Summer
2001.08.22,22-Aug-01,2001,USA,M,17.0,0,0,Summer
2001.08.21,21-Aug-01,2001,USA,M,27.0,0,0,Summer
2001.08.19.c,19-Aug-01,2001,USA,M,32.0,0,0,Summer
2001.08.19.b,19-Aug-01,2001,USA,F,17.0,0,0,Summer
2001.08.19.a,19-Aug-01,2001,USA,F,17.0,0,0,Summer
2001.08.18.c,18-Aug-01,2001,USA,M,20.0,0,0,Summer
2001.08.18.b,18-Aug-01,2001,USA,M,19.0,0,0,Summer
2001.08.18.a,18-Aug-01,2001,USA,M,19.0,0,0,Summer
2001.08.16,16-Aug-01,2001,BAHAMAS,M,43.0,0,0,Summer
2001.08.12,12-Aug-01,2001,THAILAND,M,,0,0,Summer
2001.08.05,05-Aug-01,2001,USA,F,,0,0,Summer
2001.08.04,04-Aug-01,2001,BAHAMAS,M,36.0,0,0,Summer
2001.08.03,03-Aug-01,2001,ITALY,,,0,,Summer
2001.07.26,26-Jul-01,2001,USA,F,,0,0,Summer
2001.07.25,25-Jul-01,2001,USA,M,,0,0,Summer
2001.07.24,24-Jul-01,2001,USA,F,,0,0,Summer
2001.07.21,21-Jul-01,2001,USA,,,0,,Summer
2001.07.15.b,15-Jul-01,2001,USA,M,48.0,0,0,Summer
2001.07.15.a,15-Jul-01,2001,USA,M,18.0,0,0,Summer
2001.07.06.b,06-Jul-01,2001,MEXICO,M,42.0,0,0,Summer
2001.07.06.a,06-Jul-01,2001,USA,M,8.0,0,0,Summer
2001.07.03,03-Jul-01,2001,USA,,,0,0,Summer
2001.07.00,Jul-01,2001,USA,M,35.0,0,0,Summer
2001.06.12,12-Jun-01,2001,USA,M,14.0,0,0,Spring
2001.06.10,10-Jun-01,2001,USA,M,52.0,0,1,Spring
2001.06.09,09-Jun-01,2001,AUSTRALIA,M,75.0,1,,Spring
2001.06.03,03-Jun-01,2001,USA,F,29.0,0,0,Spring
2001.05.29,29-May-01,2001,USA,M,16.0,0,0,Spring
2001.05.23 ,23-May-01,2001,USA,M,11.0,0,0,Spring
2001.05.20,20-May-01,2001,USA,M,,0,0,Spring
2001.05.18,18-May-01,2001,PHILIPPINES,M,24.0,0,1,Spring
2001.05.11,11-May-01,2001,MADAGASCAR,M,,1,,Spring
2001.05.08,08-May-01,2001,SOUTH AFRICA,M,26.0,0,0,Spring
2001.05.04,04-May-01,2001,AUSTRALIA,M,,0,0,Spring
2001.05.03,03-May-01,2001,USA,M,45.0,0,0,Spring
2001.05.00,May-01,2001,FIJI,M,,1,0,Spring
2001.04.28,28-Apr-01,2001,USA,M,14.0,0,0,Spring
2001.04.13.b,13-Apr-01,2001,USA,M,16.0,0,0,Spring
2001.04.13.a,13-Apr-01,2001,USA,M,12.0,0,0,Spring
2001.04.12.e,12-Apr-01,2001,USA,M,,0,0,Spring
2001.04.12.d,12-Apr-01,2001,USA,M,38.0,0,0,Spring
2001.04.12.c,12-Apr-01,2001,USA,M,21.0,0,0,Spring
2001.04.12.b,12-Apr-01,2001,USA,M,12.0,0,0,Spring
2001.04.12.a,12-Apr-01,2001,USA,M,22.0,0,0,Spring
2001.04.11.d,11-Apr-01,2001,USA,M,19.0,0,0,Spring
2001.04.11.c,11-Apr-01,2001,USA,M,22.0,0,0,Spring
2001.04.11.a,11-Apr-01,2001,USA,M,,0,0,Spring
2001.04.10,10-Apr-01,2001,USA,,16.0,0,0,Spring
2001.04.08.b,08-Apr-01,2001,SOUTH AFRICA,M,46.0,0,0,Spring
2001.04.08.a,08-Apr-01,2001,AUSTRALIA,M,,0,1,Spring
2001.04.05,05-Apr-01,2001,USA,M,26.0,0,0,Spring
2001.04.02.b,02-Ap-2001,2001,BRAZIL,F,12.0,0,0,
2001.04.02.a,02-Apr-01,2001,AUSTRALIA,M,40.0,0,0,Spring
2001.03.23,23-Mar-01,2001,USA,M,,0,0,Winter
2001.03.09,09-Mar-01,2001,USA,M,,0,0,Winter
2001.03.08,08-Mar-01,2001,BRAZIL,M,12.0,0,,Winter
2001.03.03,03-Mar-01,2001,BRAZIL,M,20.0,1,0,Winter
2001.03.00,Mar-01,2001,,,,1,0,Winter
2001.02.26,26-Feb-01,2001,AUSTRALIA,,,0,,Winter
2001.02.11,11-Feb-01,2001,MALAYSIA,F,,1,,Winter
2001.02.04,04-Feb-01,2001,AUSTRALIA,M,40.0,0,0,Winter
2001.01.24.R,Reported  24-Jan-2001,2001,AUSTRALIA,M,35.0,0,,Winter
2001.01.24,24-Jan-01,2001,CUBA,F,55.0,0,0,Winter
2001.01.21 ,21-Jan-01,2001,AUSTRALIA,,,0,,Winter
2001.01.09,09-Jan-01,2001,USA,M,,0,0,Winter
2001.01.06,06-Jan-01,2001,NEW ZEALAND,M,,0,,Winter
2000.12.24,24-Dec-00,2000,AUSTRALIA,M,23.0,0,0,Autnum
2000.12.12,12-Dec-00,2000,FIJI,M,47.0,1,0,Autnum
2000.12.11,11-Dec-00,2000,AUSTRALIA,,,0,,Autnum
2000.12.05,05-Dec-00,2000,CANADA,M,30.0,0,0,Autnum
2000.12.03,03-Dec-00,2000,AUSTRALIA,M,38.0,0,0,Autnum
2000.12.00,Dec-00,2000,NEW ZEALAND,F,,1,0,Autnum
2000.11.21,21-Nov-00,2000,AUSTRALIA,M,28.0,0,0,Autnum
2000.11.20,20-Nov-00,2000,AUSTRALIA,M,47.0,1,,Autnum
2000.11.18,17-Nov-00,2000,USA,M,73.0,0,0,Autnum
2000.11.10,10-Nov-00,2000,USA,F,27.0,0,,Autnum
2000.11.06.b,06-Nov-00,2000,AUSTRALIA,M,52.0,0,0,Autnum
2000.11.06.a,06-Nov-00,2000,AUSTRALIA,M,49.0,1,0,Autnum
2000.11.04,04-Nov-00,2000,USA,M,27.0,0,0,Autnum
2000.10.29,29-Oct-00,2000,AUSTRALIA,,31.0,0,,Autnum
2000.10.20,20-Oct-00,2000,USA,M,23.0,0,0,Autnum
2000.10.18,18-Oct-00,2000,USA,F,56.0,0,0,Autnum
2000.10.14,14-Oct-00,2000,USA,M,69.0,0,0,Autnum
2000.10.09,09-Oct-00,2000,USA,M,17.0,0,0,Autnum
2000.10.06.b,06-Oct-00,2000,USA,M,23.0,0,0,Autnum
2000.10.06.a,06-Oct-00,2000,USA,M,11.0,0,0,Autnum
2000.10.02,02-Oct-00,2000,USA,M,24.0,0,0,Autnum
2000.09.29,29-Sep-00,2000,USA,M,,0,0,Summer
2000.09.25,25-Sep-00,2000,AUSTRALIA,M,17.0,1,0,Summer
2000.09.24,24-Sep-00,2000,AUSTRALIA,M,25.0,1,0,Summer
2000.09.18,19-Sep-00,2000,AUSTRALIA,M,12.0,0,1,Summer
2000.09.16.b,16-Sep-00,2000,OKINAWA,M,31.0,1,0,Summer
2000.09.16.a,16-Sep-00,2000,USA,,,0,0,Summer
2000.09.15,15-Sep-00,2000,USA,M,49.0,0,0,Summer
2000.09.12,12-Sep-00,2000,USA,F,26.0,0,0,Summer
2000.09.11,11-Sep-00,2000,USA,M,25.0,0,0,Summer
2000.09.10.b,10-Sep-00,2000,USA,M,8.0,0,0,Summer
2000.09.10.a,10-Sep-00,2000,SOUTH AFRICA,M,48.0,0,0,Summer
2000.09.08.c,08-Sep-00,2000,TANZANIA,M,28.0,1,0,Summer
2000.09.08.b,08-Sep-00,2000,USA,M,40.0,0,0,Summer
2000.09.08.a,08-Sep-00,2000,REUNION,M,27.0,0,0,Summer
2000.09.00.b,Early Sep-2000,2000,TANZANIA,,,1,0,Summer
2000.08.31,31-Aug-00,2000,USA,M,47.0,0,0,Summer
2000.08.30,30-Aug-00,2000,USA,M,69.0,1,0,Summer
2000.08.27.R,Reported 27-Aug-2000,2000,USA,M,,0,1,Summer
2000.08.21,21-Aug-00,2000,USA,M,,0,0,Summer
2000.08.15,15-Aug-00,2000,USA,M,53.0,0,0,Summer
2000.08.13,13-Aug-00,2000,USA,M,27.0,0,0,Summer
2000.08.12,12-Aug-00,2000,USA,F,44.0,0,0,Summer
2000.08.11,11-Aug-00,2000,USA,M,,0,,Summer
2000.08.10,10-Aug-00,2000,USA,M,,1,,Summer
2000.08.00,Aug-00,2000,TANZANIA,,,1,0,Summer
2000.07.25,25-Jul-00,2000,USA,M,5.0,0,0,Summer
2000.07.22,22-Jul-00,2000,USA,F,45.0,0,0,Summer
2000.07.17,17-Jul-00,2000,USA,M,16.0,0,0,Summer
2000.07.16.b,16-Jul-00,2000,USA,M,14.0,0,0,Summer
2000.07.16.a,16-Jul-00,2000,SOUTH AFRICA,M,15.0,0,0,Summer
2000.07.15.b,15-Jul-00,2000,SOUTH AFRICA,M,18.0,0,0,Summer
2000.07.15.a,15-Jul-00,2000,SOUTH AFRICA,M,,0,0,Summer
2000.07.12,12-Jul-00,2000, TONGA,M,69.0,0,0,Summer
2000.07.10,10-Jul-00,2000,USA,M,13.0,0,0,Summer
2000.07.09,09-Jul-00,2000,USA,M,41.0,0,0,Summer
2000.07.07,07-Jul-00,2000,USA,M,5.0,0,0,Summer
2000.07.06,06-Jul-00,2000,USA,F,12.0,0,0,Summer
2000.07.04.b,04-Jul-00,2000,USA,F,20.0,0,0,Summer
2000.07.04.a,04-Jul-00,2000,USA,F,55.0,0,0,Summer
2000.07.02.b,02-Jul-00,2000,USA,F,13.0,0,0,Summer
2000.07.02.a,02-Jul-00,2000,USA,F,19.0,0,0,Summer
2000.07.00,Jul-00,2000,TANZANIA,,,1,0,Summer
2000.06.30,30-Jun-00,2000,PAPUA NEW GUINEA,M,,1,0,Spring
2000.06.29,29-Jun-00,2000,NEW ZEALAND,M,,0,,Spring
2000.06.19,19-Jun-00,2000,USA,M,52.0,0,0,Spring
2000.06.13,13-Jun-00,2000,USA,,,0,,Spring
2000.06.10,10-Jun-00,2000,USA,M,17.0,0,0,Spring
2000.06.09.b,09-Jun-00,2000,USA,M,55.0,0,0,Spring
2000.06.09.a,09-Jun-00,2000,USA,M,44.0,0,0,Spring
2000.06.02,02-Jun-00,2000,USA,M,13.0,0,0,Spring
2000.06.00,Early Jun-2000,2000,TANZANIA,M,,1,0,Spring
2000.05.13,13-May-00,2000,NEW CALEDONIA,,,1,0,Spring
2000.05.09,09-May-00,2000,AUSTRALIA,,,1,,Spring
2000.05.07.b,07-May-00,2000,PAPUA NEW GUINEA,M,9.0,0,0,Spring
2000.05.07.a,07-May-00,2000,PAPUA NEW GUINEA,M,,1,0,Spring
2000.04.14,14-Apr-00,2000,USA,M,34.0,0,0,Spring
2000.04.09,09-Apr-00,2000,USA,M,,0,0,Spring
2000.03.31,31-Mar-00,2000,USA,M,,0,0,Winter
2000.03.30,30-Mar-00,2000,AUSTRALIA,M,26.0,0,0,Winter
2000.03.26,26-Mar-00,2000,USA,F,14.0,0,0,Winter
2000.03.24,24-Mar-00,2000,USA,M,37.0,0,0,Winter
2000.03.15,15-Mar-00,2000,NEW CALEDONIA,M,35.0,1,0,Winter
2000.03.14,14-Mar-00,2000,AUSTRALIA,M,,0,0,Winter
2000.03.10,10-Mar-00,2000,AUSTRALIA,,,0,,Winter
2000.03.09,09-Mar-00,2000,AUSTRALIA,,,0,,Winter
2000.03.03.R,Reported      03-Mar-2000,2000,NEW ZEALAND,M,27.0,,,Winter
2000.03.02,02-Mar-00,2000,AUSTRALIA,M,,0,0,Winter
2000.03.00,Mar-00,2000,USA,M,39.0,0,0,Winter
2000.02.21,21-Feb-00,2000,USA,M,27.0,0,0,Winter
2000.02.19,19-Feb-00,2000,SOUTH AFRICA,M,,0,0,Winter
2000.02.14,14-Feb-00,2000,ENGLAND,M,,0,1,Winter
2000.02.03,03-Feb-00,2000,NEW ZEALAND,M,12.0,0,0,Winter
2000.02.01,01-Feb-00,2000,AUSTRALIA,M,26.0,0,0,Winter
2000.01.28.R,Reported 28-Jan-2000,2000,REUNION,M,,1,,Winter
2000.01.05,05-Jan-00,2000,THAILAND,M,35.0,1,0,Winter
2000.00.00,2000,2000,USA,M,,0,,
1999.12.31.c,31-Dec-99,1999,NEW ZEALAND,M,15.0,0,0,Autnum
1999.12.31.b,31-Dec-99,1999,NEW ZEALAND,F,13.0,0,0,Autnum
1999.12.31.a,31-Dec-99,1999,NEW ZEALAND,F,12.0,0,0,Autnum
1999.12.26,26-Dec-99,1999,BRAZIL,M,18.0,0,0,Autnum
1999.12.14,14-Dec-99,1999,USA,M,,1,,Autnum
1999.12.06,06-Dec-99,1999,BRAZIL,M,39.0,0,,Autnum
1999.12.02,02-Dec-99,1999,USA,M,35.0,0,0,Autnum
1999.11.30,30-Nov-99,1999,USA,M,19.0,0,0,Autnum
1999.11.23,23-Nov-99,1999,USA,F,51.0,0,0,Autnum
1999.11.15,15-Nov-99,1999,USA,M,,0,0,Autnum
1999.11.13,13-Nov-99,1999,SOUTH AFRICA,M,35.0,0,0,Autnum
1999.11.06,06-Nov-99,1999,BRAZIL,M,39.0,0,0,Autnum
1999.11.00.b,Nov-99,1999,MARSHALL ISLANDS,M,12.0,0,0,Autnum
1999.11.00.a,Nov-99,1999,MARSHALL ISLANDS,M,12.0,0,0,Autnum
1999.10.30.b,30-Oct-99,1999,USA,M,45.0,0,0,Autnum
1999.10.30.a,30-Oct-99,1999,USA,M,13.0,0,0,Autnum
1999.10.20,20-Oct-99,1999,USA,M,,0,0,Autnum
1999.10.01,01-Oct-99,1999,USA,M,16.0,0,0,Autnum
1999.09.29,29-Sep-99,1999,USA,M,22.0,0,0,Summer
1999.09.24,24-Sep-99,1999,ITALY,,,0,,Summer
1999.09.16,Reported 16-Sep-1999,1999,USA,F,61.0,0,0,Summer
1999.09.10,10-Sep-99,1999,USA,F,10.0,0,0,Summer
1999.09.05,05-Sep-99,1999,USA,M,13.0,0,0,Summer
1999.09.04.b,04-Sep-99,1999,USA,M,7.0,0,1,Summer
1999.09.04.a,04-Sep-99,1999,USA,M,39.0,0,0,Summer
1999.08.26,26-Aug-99,1999,USA,M,28.0,0,0,Summer
1999.08.24,24-Aug-99,1999,USA,M,,0,0,Summer
1999.08.23,23-Aug-99,1999,MARSHALL ISLANDS,M,23.0,0,0,Summer
1999.08.21,21-Aug-99,1999,USA,M,17.0,0,0,Summer
1999.08.16,16-Aug-99,1999,USA,M,10.0,0,0,Summer
1999.08.05.a,05-Aug-99,1999,USA,M,62.0,0,0,Summer
1999.08.05,05-Aug-99,1999,BAHAMAS,M,35.0,0,0,Summer
1999.07.29,29-Jul-99,1999,SOUTH AFRICA,M,42.0,0,0,Summer
1999.07.26,26-Jul-99,1999,USA,M,43.0,0,0,Summer
1999.07.21,21-Jul-99,1999,USA,M,43.0,0,0,Summer
1999.07.15,15-Jul-99,1999,SOUTH AFRICA,M,14.0,1,0,Summer
1999.07.06,06-Jul-99,1999,USA,M,,0,0,Summer
1999.07.04,04-Jul-99,1999,USA,F,30.0,0,0,Summer
1999.07.03,03-Jul-99,1999,SOUTH AFRICA,M,29.0,0,0,Summer
1999.06.19,19-Jun-99,1999,USA,M,20.0,0,0,Spring
1999.06.17,17-Jun-99,1999,USA,M,21.0,0,0,Spring
1999.06.12,12-Jun-99,1999,USA,M,41.0,0,0,Spring
1999.06.09,09-Jun-99,1999,USA,M,5.0,0,0,Spring
1999.05.29,29-May-99,1999,AUSTRALIA,M,22.0,1,0,Spring
1999.05.01,01-May-99,1999,BRAZIL,M,21.0,0,0,Spring
1999.04.22,22-Apr-99,1999,MAURITIUS,F,41.0,0,0,Spring
1999.04.11,11-Apr-99,1999,REUNION,M,52.0,1,0,Spring
1999.04.01,01-Apr-99,1999,USA,M,14.0,0,0,Spring
1999.03.18.R,Reported 18-Mar-1999 ,1999,NEW ZEALAND,M,,0,0,Winter
1999.03.18.b,18-Mar-99,1999,BRAZIL,M,,0,1,Winter
1999.03.18.a,18-Mar-99,1999,USA,F,29.0,1,0,Winter
1999.03.14.b,14-Mar-99,1999,NEW CALEDONIA,M,,0,0,Winter
1999.03.14.a,14-Mar-99,1999,NEW ZEALAND,M,28.0,0,1,Winter
