Date,Year,Type,Area,Location,Activity,Sex,Fatal (Y/N),Species
2009-04-06,2009,Invalid,KwaZulu-Natal,Umtentweni,Swimming,M,Unknown,Shark
2009-04-06,2009,Unprovoked,California,San Diego County,Spearfishing,M,N,White Shark
2009-04-03,2009,Unprovoked,Florida,"Sanibel Island, Lee County",Wading,M,N,
2009-03-27,2009,Provoked,Eastern Cape Province,2-3 km north of Sunday's River mouth,Fishing,M,N,Raggedtooth Shark
2009-03-21,2009,Unprovoked,Eastern Cape Province,"Second Beach, Port St. John's",Surfing,M,Y,
2009-03-20,2009,Unprovoked,New South Wales,Blue Bay,Surfing,M,N,Whaler Shark
2009-03-19,2009,Unprovoked,New South Wales,South Broulee,Surfing,M,N,
2009-03-19,2009,Unprovoked,New South Wales,Bateman's Bay,Surfing,F,N,
2009-03-18,2009,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,F,N,Shark
2009-03-17,2009,Unprovoked,Strait of Malacca,Pulau Payar Island,Unknown,F,N,Reef Shark
2009-03-17,2009,Unprovoked,Hawaii,Alenuihaha Channel,Swimming,M,N,Cutter Shark
2009-03-16,2009,Provoked,Western Australia,"The Natural Jetty, Rottnest Island",Wading,M,N,Wobbegong Shark
2009-03-06,2009,Unprovoked,South Province,Bourail,Surfing,M,Y,
2009-03-02,2009,Provoked,Western Cape Province,Off Cape Point,Fishing,M,N,Blue Shark
2009-03-01,2009,Boating,North Island,Taranaki,Fishing,M,N,
2009-03-01,2009,Unprovoked,New South Wales,Avalon,Surfing,M,N,Shark
2009-02-22,2009,Unprovoked,Queensland,Batt Reef,Fishing,M,N,
2009-02-18,2009,Unprovoked,New South Wales,"Shelly Beach, near Port Macquarie",Surfing,M,N,
2009-02-12,2009,Unprovoked,New South Wales,"Bondi Beach, Sydney",Surfing,M,N,White Shark
2009-02-11,2009,Unprovoked,New South Wales,"Garden Point, Woolloomooloo Sydney Harbour",Unknown,M,N,Bull Shark
2009-02-08,2009,Sea Disaster,Puerto Rico,Quebradillas,Unknown,M,Y,
2009-02-07,2009,Unprovoked,New South Wales,Cellito Beach,Surfing,M,N,White Shark
2009-02-07,2009,Unprovoked,New South Wales,Sandon,Surfing,M,N,
2009-01-27,2009,Provoked,Unknown,Onboard the fishing vessel Nuevo Cedes,Fishing,M,N,
2009-01-26,2009,Invalid,Unknown,Praia do Olho d'Aqua,Unknown,M,Unknown,Shark
2009-01-25,2009,Unprovoked,Guantanamo Province,Guantanamo Bay,Spearfishing,M,N,Bull Shark
2009-01-24,2009,Boating,North Island,Alderman Islands,Fishing,Unknown,N,
2009-01-24,2009,Unprovoked,New South Wales,"Surf Beach, Batemans Bay",Swimming,M,N,
2009-01-24,2009,Unprovoked,Eastern Cape Province,"Second Beach, Port St. John's",Swimming,M,Y,Tiger Shark
2009-01-23,2009,Invalid,Maranhão,Olho d'Água,Swimming,M,Unknown,
2009-01-18,2009,Boating,Victoria,Off Tower Hill,Fishing,M,N,White Shark
2009-01-16,2009,Unprovoked,South Island,Karitane Beach,Surfing,M,N,
2009-01-13,2009,Unprovoked,Western Cape Province,"Shark Alley, off Gansbaai",Unknown,Unknown,Y,White Shark
2009-01-12,2009,Unprovoked,New South Wales,"Windang,Lake Illawara",Snorkeling,M,N,Dusky Shark
2009-01-11,2009,Unprovoked,Tasmania,Binalong Bay,Surfing,F,N,White Shark
2009-01-11,2009,Unprovoked,New South Wales,Fingal Beach,Surfing,M,N,White Shark
2009-01-10,2009,Boating,North Island,Hawkes Bay,Fishing,Unknown,N,Mako Shark
2009-01-10,2009,Unprovoked,Galapagos Islands,Isla Isabella,Surfing,M,N,
2009-01-06,2009,Unprovoked,North Island,Haumoana,Swimming,M,N,Sevengill Shark
2009-01-01,2009,Unprovoked,Guantanamo Province,Guantanamo,Spearfishing,Unknown,N,Bull Shark
2008-12-30,2008,Invalid,Western Australia,Port Kennedy Beach,Unknown,Unknown,Unknown,Shark
2008-12-27,2008,Boating,Tasmania,near Schouten Island,Unknown,Unknown,N,Shark
2008-12-27,2008,Unprovoked,New South Wales,Seal Rocks,Boogie Boarding,M,N,
2008-12-27,2008,Boating,New South Wales,"Long Reef, north of Sydney",Kayaking,M,N,White Shark
2008-12-27,2008,Unprovoked,Western Australia,Port Kennedy Beach,Snorkeling,M,Y,White Shark
2008-12-20,2008,Boating,California,"Dillon Beach, Marin County",Kayaking,M,N,White Shark
2008-12-14,2008,Unprovoked,North Island,Maraetai,Fishing,M,N,Whaler Shark
2008-12-10,2008,Provoked,Western Cape Province,Plettenberg Bay,Fishing,M,N,Raggedtooth Shark
2008-12-06,2008,Boating,New South Wales,Mowarry Point,Fishing,Unknown,N,White Shark
2008-12-01,2008,Unprovoked,Inhambane Province,Chidenguele,Spearfishing,M,Y,Zambesi Shark
2008-11-28,2008,Unprovoked,Red Sea,Elphinstone Reef,Scuba Diving,F,N,Whitetip Shark
2008-11-25,2008,Sea Disaster,Batanes Provine,Luzon Strait,Unknown,M,N,
2008-11-24,2008,Unprovoked,Galapagos Islands,Santa Cruz,Unknown,F,N,
2008-11-09,2008,Boating,South Australia,North Haven,Fishing,M,N,Whaler Shark
2008-11-09,2008,Sea Disaster,Unknown,50 miles off Kaohsiung,Unknown,M,Y,
2008-11-06,2008,Unprovoked,Luzon,"off Paoay, Ilocos Norte Province",Fishing,M,Y,
2008-10-22,2008,Provoked,New South Wales,"Oceanworld, Manley",Scuba Diving,M,N,Nurse Shark
2008-10-21,2008,Unprovoked,Unknown,Unknown,Spearfishing,M,N,Lemon Shark
2008-10-12,2008,Provoked,Northern Territory,Darwin,Fishing,M,N,Reef Shark
2008-10-11,2008,Unprovoked,New South Wales,Lake Macquarie,Surfing,M,N,
2008-10-08,2008,Unprovoked,Florida,"Santa Rosa Beach, Walton County",Fishing,M,N,
2008-10-06,2008,Unprovoked,"Split-Dalmatia Count,","Smokvina Bay, Vis Island",Spearfishing,M,N,White Shark
2008-09-28,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,
2008-09-28,2008,Unprovoked,Florida,Bethune Beach,Surfing,M,N,Shark
2008-09-15,2008,Provoked,Northern Territory,Near Croker Island,Swimming,M,N,Whaler Shark
2008-09-14,2008,Unprovoked,Florida,"Ormond-by-the-Sea, Volusia County",Swimming,M,N,Juvenile Shark
2008-09-09,2008,Unprovoked,Hawaii,"Ka'a'awa, Oahu",Surfing,M,N,Tiger Shark
2008-09-08,2008,Unprovoked,California,"Surf Beach, Lompoc, Santa Barbara County",Surfing,M,N,White Shark
2008-09-07,2008,Unprovoked,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,N,Shark
2008-09-06,2008,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,N,
2008-09-06,2008,Unprovoked,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,N,
2008-09-01,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,Shark
2008-09-01,2008,Unprovoked,Florida,Hutchinson Island,Surfing,M,N,
2008-08-30,2008,Unprovoked,New South Wales,"Tallow Beach, Byron Bay",Surfing,M,N,
2008-08-30,2008,Invalid,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i",Swimming,M,Unknown,Shark
2008-08-30,2008,Provoked,North Devon,Lundy Island,Fishing,M,N,Blue Shark
2008-08-28,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,
2008-08-27,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,Shark
2008-08-24,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Unknown,M,N,
2008-08-22,2008,Invalid,North Carolina,"Surf City, Topsail Island, Pender County",Surfing,F,Unknown,Shark
2008-08-20,2008,Unprovoked,Florida,"Sanibel Island, Lee County",Swimming,M,N,
2008-08-18,2008,Invalid,South Carolina,"North Myrtle Beach, Horry County",Unknown,M,Unknown,Shark
2008-08-16,2008,Unprovoked,US Virgin Islands,Buck Island,Treading Water,F,N,Bull Sharkreef Shark
2008-08-12,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,F,N,
2008-08-11,2008,Unprovoked,Hawaii,"Ala Moana Beach Park, Oah'u",Diving,M,N,Tiger Shark
2008-07-30,2008,Unprovoked,Victoria,Levys Beach,Surfing,M,N,White Sharkgill Shark
2008-07-30,2008,Unprovoked,Unknown,Unknown,Unknown,M,N,White Shark
2008-07-27,2008,Unprovoked,San Carlos,Playa Teta,Unknown,M,N,Shark
2008-07-26,2008,Unprovoked,Cabo San Lucas,Unknown,Swimming,M,N,Shark
2008-07-26,2008,Unprovoked,Hawaii,"Honokowai, Maui",Swimming,M,N,Reef Shark
2008-07-25,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,
2008-07-25,2008,Unprovoked,Hawaii,"Lahilahi Point, Oahu",Snorkeling,F,N,
2008-07-24,2008,Unprovoked,North Carolina,"Surf City, Topsail Island, Pender County",Wading,M,N,Shark
2008-07-24,2008,Unprovoked,North Carolina,"Topsail Island, Pender County",Wading,F,N,Shark
2008-07-23,2008,Provoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,
2008-07-19,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,M,N,Shark
2008-07-18,2008,Unprovoked,Unknown,Daedalus Reef,Diving,M,N,Whitetip Shark
2008-07-13,2008,Invalid,North Carolina,"Carolina Beach, New Hanover County",Body Surfing,M,Unknown,Shark
2008-07-11,2008,Unprovoked,South Carolina,"Isle of Palms, Charleston County",Surfing,M,N,
2008-07-09,2008,Unprovoked,North Carolina,"Emerald Isle, Carteret County",Swimming,F,N,
2008-07-05,2008,Unprovoked,South Carolina,"Litchfield Beach, Georgetown County",Unknown,F,N,
2008-07-01,2008,Boating,Sussex,"Rock-a-Nore, Hastings",Unknown,M,N,Smoothhound Shark
2008-06-28,2008,Invalid,Hawaii,"Kamilo Point, Hawai'i",Wading,M,Unknown,Shark
2008-06-28,2008,Unprovoked,Abaco Islands,Unknown,Spearfishing,M,N,Bull Shark
2008-06-28,2008,Unprovoked,Western Cape Province,Mossel Bay,Unknown,M,N,White Shark
2008-06-26,2008,Unprovoked,Western Cape Province,Struis Bay,Unknown,M,N,White Shark
2008-06-26,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,
2008-06-26,2008,Unprovoked,South Carolina,"Isle of Palms, Charleston County",Swimming,M,N,Shark
2008-06-24,2008,Unprovoked,Bahia,Guarajuba,Surfing,M,N,
2008-06-21,2008,Boating,California,"West Cove, Catalina Island",Kayaking,F,N,White Shark
2008-06-20,2008,Unprovoked,Florida,"Fernandina Beach, Nassau County",Wading,F,N,
2008-06-11,2008,Unprovoked,Pernambuco,"Punta Del Chifre, Olinda",Surfing,M,N,
2008-06-07,2008,Unprovoked,Florida,"Cocoa Beach, BrevardCounty",Body Surfing,M,N,
2008-06-02,2008,Boating,Easter Ross,Balintore Bay,Fishing,Unknown,N,Basking Shark
2008-06-01,2008,Unprovoked,South Carolina,Cherry Grove,Body Surfing,F,N,Shark
2008-06-01,2008,Unprovoked,Pernambuco,"Piedade, Recife",Swimming,M,N,Bull Shark
2008-05-26,2008,Unprovoked,North Carolina,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,M,N,
2008-05-24,2008,Sea Disaster,Grand Bahama Island,Off West End,Unknown,M,N,Tiger Shark
2008-05-24,2008,Unprovoked,Guerro,Playa Linda,Surfing,M,N,Shark
2008-05-23,2008,Unprovoked,Guerro,Pantla Beach,Surfing,M,Y,Shark
2008-05-14,2008,Unprovoked,Yasawa Islands,Turtle Island,Unknown,M,Y,
2008-05-10,2008,Unprovoked,Western Australia,Albany,Swimming,M,N,White Shark
2008-05-07,2008,Unprovoked,North Province,Hienghène,Fishing,M,N,Bull Shark
2008-05-07,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Wading,M,N,
2008-05-01,2008,Provoked,Unknown,Unknown,Fishing,M,N,
2008-04-28,2008,Unprovoked,Guerro,Troncones Beach,Surfing,M,Y,Tiger Shark
2008-04-28,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,Shark
2008-04-27,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,
2008-04-26,2008,Unprovoked,North Province,Poindimié,Swimming,M,N,Bull Shark
2008-04-26,2008,Provoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,
2008-04-25,2008,Unprovoked,California,"Solana Beach, San Diego County",Swimming,M,Y,White Shark
2008-04-20,2008,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,
2008-04-20,2008,Unprovoked,New South Wales,Crescent Head,Unknown,M,Unknown,Tiger Shark
2008-04-19,2008,Invalid,KwaZulu-Natal,Aliwal Shoal,Unknown,M,Unknown,Tiger Shark
2008-04-18,2008,Invalid,Quintana Roo,"Delfines Beach, Cancun",Swimming,M,Unknown,Sharkbut Shark
2008-04-17,2008,Invalid,Queensland,"Duranbah, Greenmount Beach",Surfing,M,Unknown,Shark
2008-04-15,2008,Unprovoked,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,N,Shark
2008-04-09,2008,Unprovoked,Unknown,Unknown,Spearfishing,M,N,
2008-03-25,2008,Unprovoked,Florida,"Palm Beach Shores, Palm Beach County",Wading,M,N,Shark
2008-04-08,2008,Unprovoked,Florida,"1.4 miles south of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Surfing,Unknown,N,
2008-04-08,2008,Unprovoked,New South Wales,"Lighthouse Beach, Ballina",Body Boarding,M,Y,Bull Shark
2008-04-03,2008,Unprovoked,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Unknown,M,N,
2008-03-28,2008,Unprovoked,KwaZulu-Natal,Scottburgh,Unknown,M,N,
2008-03-28,2008,Unprovoked,Florida,"New Smyrna Beach / Ponce Inlet, Volusia County",Surfing,M,N,Shark
2008-03-28,2008,Unprovoked,Florida,"Near Cocoa Beach, BrevardCounty",Boogie Boarding,M,N,Small Shark
2008-03-23,2008,Unprovoked,Florida,"South of Ponce de Leon Jetty, New Smyrna Beach, Volusia County",Unknown,M,N,Shark
2008-03-21,2008,Unprovoked,Florida,"Beachway Avenue Approach, New Smyrna Beach, Volusia County",Wading,M,N,
2008-03-15,2008,Unprovoked,Florida,"Lovers Key State Park, Bonita Springs, Lee County",Unknown,M,N,Shark
2008-03-07,2008,Unprovoked,California,"Huntington Beach, Orange County",Surfing,M,N,White Shark
2008-02-24,2008,Unprovoked,Northern Bahamas,"Dive site known as ""The End of the Map""",Diving,M,Y,Bull Shark
2008-02-21,2008,Unprovoked,Society Islands,Tahiti,Spearfishing,M,N,
2008-02-15,2008,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,N,
2008-02-07,2008,Unprovoked,New South Wales,Horseshoe Bay,Surfing,F,N,Shark
2008-02-06,2008,Unprovoked,Florida,"Opposite Patrick Air Force Base, Brevard County",Unknown,M,N,Shark
2008-01-30,2008,Provoked,Tokyo Bay,Unknown,Diving,M,Unknown,Goblin Shark
2008-01-29,2008,Unprovoked,KwaZulu-Natal,"Suncoast Pirates Beach, Durban",Unknown,M,N,Blacktip Shark
2008-01-27,2008,Provoked,Queensland,200 km east of Coolangatta,Unknown,M,N,Mako Shark
2008-01-19,2008,Invalid,South Island,Marfells Beach,Wading,M,Unknown,Shark
2008-01-14,2008,Boating,North Island,Omaha Beach,Unknown,Unknown,N,Whaler Shark
2008-01-10,2008,Unprovoked,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,N,Small Shark
2008-01-01,2008,Provoked,Florida,"Off Fort Pierce, St. Lucie County",Unknown,M,N,Nurse Shark
2008-01-01,2008,Unprovoked,Baja California,Playas de Tijuana,Surfing,M,N,Hammerhead Shark
2007-12-21,2007,Unprovoked,Galapagos Islands,San Cristobal Island,Surfing,M,N,Shark
2007-12-19,2007,Invalid,Green Bay,Unknown,Scuba Diving,M,Unknown,
2007-12-18,2007,Unprovoked,New South Wales,Jimmy's Beach,Surfing,M,N,Shark
2007-12-15,2007,Unprovoked,Queensland,South Stradbroke Island,Swimming,M,N,Small Shark
2007-12-14,2007,Invalid,New South Wales,Bondi,Swimming,M,Unknown,Shark
2007-12-10,2007,Unprovoked,Hawaii,"Waialua Bay, O'ahu",Surfing,M,N,Tiger Shark
2007-12-09,2007,Unprovoked,South Island,Kaikoura,Surfing,F,N,
2007-12-07,2007,Unprovoked,Pernambuco,Itamaracá,Unknown,M,N,Shark
2007-11-18,2007,Provoked,Western Australia,In a tidal creek5 km from Wickham,Fishing,M,N,Reef Shark
2007-11-08,2007,Unprovoked,New South Wales,"Wategos Beach, Byon Bay",Surfing,M,N,
2007-11-07,2007,Unprovoked,Western Cape Province,The Strand,Surfing,M,N,Shark
2007-11-06,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,Shark
2007-11-04,2007,Unprovoked,Florida,"Round Island Park, Indian River County",Surfing,M,N,Shark
2007-11-03,2007,Unprovoked,Eastern Cape Province,Bonza Bay,Surfing,M,N,White Shark
2007-11-01,2007,Invalid,Baja California,Guadalupe Island,Unknown,M,Unknown,
2007-10-29,2007,Unprovoked,Hawaii,"Wailea, Maui",Unknown,M,N,Tiger Shark
2007-10-15,2007,Unprovoked,New South Wales,Byron Bay,Unknown,F,N,White Shark
2007-10-13,2007,Unprovoked,Queensland,Holmes Reef,Spearfishing,M,N,Whaler Shark
2007-10-07,2007,Unprovoked,California,"Venice Pier, Venice, Los Angeles County",Surfing,M,N,Shark
2007-10-06,2007,Unprovoked,Florida,"Playalinda Beach, Canaveral National Seashore, Brevard County",Surfing,M,N,Blacktip Shark
2007-09-30,2007,Unprovoked,California,"Santa Monica, Los Angeles County",Surfing,M,N,
2007-09-30,2007,Sea Disaster,Palawan,Off Cagayancillo,Unknown,M,Y,
2007-09-30,2007,Unprovoked,Loyalty Islands,"Bay of Luengoni, Lifou Island",Swimming,F,Y,Tiger Shark
2007-09-28,2007,Unprovoked,Grand Bahama Island,Sweetings Cay,Spearfishing,F,N,Reef Shark
2007-09-27,2007,Unprovoked,California,"Moonstone Beach, Humboldt County",Surfing,F,N,White Shark
2007-09-27,2007,Unprovoked,Red Sea,Daedalus Reef,Swimming,F,N,Whitetip Shark
2007-09-22,2007,Invalid,Florida,Jupiter Inlet,Scuba Diving,F,Unknown,Shark
2007-09-22,2007,Unprovoked,Florida,Huguenot Park,Surfing,F,N,Shark
2007-09-20,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,Shark
2007-09-17,2007,Unprovoked,Marovo Lagoon,Kicha Island,Spearfishing,M,N,Reef Shark
2007-09-16,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Unknown,M,N,
2007-09-16,2007,Unprovoked,Florida,"Flagler Beach, Flagler County",Surfing,F,N,Shark
2007-09-13,2007,Unprovoked,Florida,"Lauderdale-by-the-Sea, Broward County",Snorkeling,M,N,Nurse Shark
2007-09-08,2007,Unprovoked,Florida,"Pepper Park Beach, St. Lucie County",Wading,F,N,
2007-09-05,2007,Unprovoked,Florida,"Daytona Beach, Volusia County",Wading,F,N,
2007-09-04,2007,Unprovoked,South Carolina,Sullivan's Island,Standing,M,N,
2007-09-03,2007,Unprovoked,Florida,"Daytona Beach, Volusia County",Unknown,F,N,Shark
2007-09-03,2007,Unprovoked,Florida,"Fort Lauderdale, Broward County",Swimming,M,N,Spinner Shark
2007-08-28,2007,Unprovoked,Hawaii,"Ka'a'awa, Oahu",Body Boarding,M,N,Tiger Shark
2007-08-28,2007,Unprovoked,California,"Marina State Beach, Monterey County",Surfing,M,N,White Shark
2007-08-26,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,Shark
2007-08-25,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,Shark
2007-08-22,2007,Provoked,North Carolina,North Carolina Aquarium at Fort Fisher,Diving,M,N,Sand Shark
2007-08-20,2007,Provoked,Delaware,"Indian River Inlet, Rehoboth Beach",Fishing,M,N,Sandtiger Shark
2007-08-19,2007,Unprovoked,Florida,"Islamorada Founder's Park, Plantation Key, Monroe County",Swimming,M,N,
2007-08-19,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,Shark
2007-08-19,2007,Unprovoked,South Carolina,"Lakewood Campground, Grand Strand, Horry County",Unknown,M,N,
2007-08-15,2007,Unprovoked,Florida,Sarasota Bay,Unknown,M,N,Bull Shark
2007-08-12,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Swimming,F,N,
2007-08-11,2007,Unprovoked,Florida,"Ponce Inlet,New Smyrna Beach, Volusia County",Unknown,M,N,
2007-08-09,2007,Unprovoked,South Carolina,"Isle of Palms, Charleston County",Swimming,M,N,
2007-08-09,2007,Unprovoked,South Carolina,"Isle of Palms, Charleston County",Boogie Boarding,M,N,
2007-08-07,2007,Unprovoked,Florida,"Islamorada, Monroe County",Unknown,F,N,Bull Shark
2007-07-29,2007,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,N,
2007-07-28,2007,Unprovoked,California,"Imperial Beach, San Diego County",Surfing,M,N,
2007-07-22,2007,Unprovoked,California,"Malibu, Los Angeles County",Unknown,M,N,White Shark
2007-07-21,2007,Boating,California,"Bean Hollow State Beach, San Mateo County",Unknown,M,N,White Shark
2007-07-19,2007,Unprovoked,Hawaii,"Bellows Beach near Wailea Point, Oahu",Snorkeling,M,N,
2007-07-19,2007,Unprovoked,Territory of Cocos (Keeling) Islands,Direction Island,Wading,M,N,Whaler Shark
2007-07-18,2007,Unprovoked,North Carolina,"North Topsail Beach, OnslowCounty",Swimming,M,N,Shark
2007-07-18,2007,Provoked,Oslo Fjord,Sjøstrand,Scuba Diving,M,N,Shark
2007-07-17,2007,Invalid,California,"Faria Beach, Ventura County",Swimming,F,Unknown,Shark
2007-07-17,2007,Unprovoked,North Carolina,"Atlantic Beach, Carteret County",Wading,F,N,Shark
2007-07-10,2007,Unprovoked,Abaco Islands,Allan-Pensacola Cay,Spearfishing,F,N,Bull Shark
2007-07-05,2007,Unprovoked,Florida,"Ponce Inlet, Volusia County",Surfing,M,N,
2007-07-04,2007,Unprovoked,Unknown,Boucan Canot,Body Boarding,M,N,Shark
2007-07-01,2007,Invalid,Unknown,Unknown,Unknown,Unknown,Unknown,
2007-06-30,2007,Provoked,Florida,Marques Island,Unknown,M,N,Lemon Shark
2007-06-30,2007,Unprovoked,California,"Will Rogers State Beach, Los Angeles County",Swimming,F,N,
2007-06-25,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,Shark
2007-06-24,2007,Unprovoked,Hawaii,"Silva's Channel, Mokuleia, O'ahu",Surfing,M,N,Tiger Shark
2007-06-17,2007,Invalid,Florida,"Vilano Beach, St.Johns County",Surfing,F,Unknown,Shark
2007-06-12,2007,Unprovoked,Florida,"Turtle Beach, Siesta Key, Sarasota County",Swimming,F,N,Shark
2007-06-05,2007,Unprovoked,New South Wales,"Shelly Beach, Crescent Head",Surfing,M,N,
2007-05-26,2007,Unprovoked,South Carolina,Garden City,Wading,F,N,
2007-05-24,2007,Provoked,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach",Unknown,F,N,Reef Shark
2007-05-17,2007,Provoked,Kent,Folkestone,Fishing,M,N,
2007-05-16,2007,Unprovoked,Western Australia,"Warra Beach, Coral Bay",Wading,F,N,Shark
2007-05-12,2007,Unprovoked,Victoria,Warrnambool,Surfing,M,N,Shark
2007-05-10,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,F,N,Shark
2007-05-09,2007,Unprovoked,Bird Island,Unknown,Snorkeling,M,N,White Shark
2007-05-08,2007,Invalid,New South Wales,Kingscliff Beach,Swimming,M,Unknown,Shark
2007-05-07,2007,Unprovoked,Hawaii,"Keawakapu Beach, Maui",Snorkeling,F,N,Tiger Shark
2007-05-07,2007,Unprovoked,Florida,Naples,Swimming,M,N,Shark
2007-05-04,2007,Sea Disaster,Providenciales,Unknown,Unknown,Unknown,Y,
2007-05-01,2007,Provoked,Bimini Islands,Unknown,Unknown,F,N,Lemon Shark
2007-04-26,2007,Unprovoked,Queensland,"Mornington Island, Gulf of Carpentaria",Unknown,F,N,Small Shark
2007-04-22,2007,Unprovoked,Florida,"Hutchinson Island, St. Lucie County",Body Boarding,M,N,Spinner Shark
2007-04-20,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Surfing,M,N,Shark
2007-04-13,2007,Boating,Florida,"Florida Keys, Monroe County",Fishing,Unknown,N,Bull Shark
2007-04-09,2007,Unprovoked,South Province,Dumbéa,Surfing,M,N,Tiger Shark
2007-04-01,2007,Unprovoked,Florida,"New Smyrna Beach, Volusia County",Unknown,M,N,
2007-03-31,2007,Unprovoked,Florida,"Normandy Beach, Hutchinson Island,St. Lucie County",Surfing,M,N,Shark
2007-03-31,2007,Unprovoked,Florida,"Waveland Beach, Hutchinson Island, St. Lucie County",Unknown,M,N,
2007-03-22,2007,Unprovoked,Muhafazat Hadramawt,Ras-Alkalb,Unknown,Unknown,Y,
2007-03-21,2007,Unprovoked,Florida,Jupiter Inlet,Surfing,M,N,Shark
2007-03-20,2007,Unprovoked,New South Wales,South Golden Beach,Surfing,F,N,Shark
2007-03-14,2007,Provoked,Florida,Delray Beach,Unknown,M,N,Shark
2007-03-12,2007,Unprovoked,Queensland,"Moore Park, north of Bundaberg",Swimming,F,N,Shark
2007-03-11,2007,Unprovoked,Florida,"Tiger Shores Beach, Martin County",Surfing,M,N,
2007-03-05,2007,Provoked,Cook islans,Penhryn Island,Spearfishing,M,N,Tiger Shark
2007-02-04,2007,Invalid,Unknown,Unknown,Swimming,M,Unknown,Shark
2007-02-03,2007,Unprovoked,New South Wales,Shelly Beach,Boogie Boarding,M,N,
2007-02-01,2007,Unprovoked,Loyalty Islands,Ouvéa,Spearfishing,M,N,
2007-01-25,2007,Unprovoked,North Province,Kaala-Gomen,Unknown,M,N,Tiger Shark
2007-01-25,2007,Boating,Florida,100 miles off Ft. Myers Beach,Unknown,Unknown,N,Shark
2007-01-23,2007,Unprovoked,New South Wales,Cape Howe,Diving,M,N,White Shark
2007-01-19,2007,Invalid,New South Wales,Brunswick Heads,Swimming,M,Unknown,Shark
2007-01-14,2007,Unprovoked,Eastern Cape Province,"Second Beach, Port St. John's",Unknown,M,Y,Tiger Shark
2007-01-09,2007,Unprovoked,New South Wales,Sandbar Beach,Surfing,M,N,Shark
2007-01-07,2007,Invalid,New York,"Smith Point, Long Island",Surfing,M,Unknown,Shark
2007-01-05,2007,Unprovoked,Hawaii,"Majors Bay, Kaua'i",Surfing,M,N,Sharktiger Shark
2006-12-18,2006,Unprovoked,Victoria,"Winki Pop, Bells Beach",Surfing,M,N,Shark
2006-12-11,2006,Unprovoked,North Island,"Raglan, Manu Bay",Surfing,M,N,Shark
2006-12-10,2006,Unprovoked,California,"Dillon Beach, Marin County",Surfing,M,N,White Shark
2006-12-06,2006,Provoked,KwaZulu-Natal,Cape Vidal,Fishing,M,N,Raggedtooth Shark
2006-12-02,2006,Unprovoked,Western Australia,Wharton Beach,Body Boarding,M,N,White Shark
2006-11-25,2006,Sea Disaster,Surigao del Norte,"Off Bilisan Point, Hinatuarn Island",Unknown,Unknown,Y,
2006-11-11,2006,Unprovoked,Hawaii,"Kihei, Maui",Swimming,M,N,Shark
2006-11-09,2006,Provoked,Eastern Cape Province,"Nahoon, East London",Unknown,M,N,Bull Shark
2006-10-31,2006,Unprovoked,Oregon,"Siletz River mouth, Lincoln County",Surfing,M,N,White Shark
