Year,Country,Sex,Activity,Type,Fatal
2015,USA,M,Surfing,Unprovoked,N
2015,Australia,F,Snorkeling,Unprovoked,N
2015,USA,M,Kayak fishing,Unprovoked,N
2015,USA,M,Surfing,Unprovoked,N
2015,USA,M,Spearfishing,Unprovoked,N
2015,USA,M,Wading,Unprovoked,N
2015,USA,M,Photographing fish,Unprovoked,N
2015,USA,M,Swimming,Unprovoked,N
2015,USA,M,Surfing,Unprovoked,N
2015,Australia,M,Surfing,Unprovoked,N
2015,USA,F,Stand-Up Paddleboarding,Unprovoked,N
2015,USA,M,Kayak Fishing,Provoked,N
2015,Australia,M,Surf-skiing,Unprovoked,N
2015,USA,M,,Unprovoked,N
2015,Thailand,F,Wading,Unprovoked,N
2015,Fiji,M,Spearfishing,Unprovoked,N
2015,USA,F,Surfing,Unprovoked,N
2015,USA,M,Surfing,Unprovoked,N
2015,USA,M,,Invalid,N
2015,Australia,M,Surfing,Unprovoked,N
2015,USA,M,Surfing,Unprovoked,N
2015,USA,F,Walking,Unprovoked,N
2015,USA,M,Kayak Fishing,Unprovoked,N
2015,Spain,M,Swimming,Invalid,N
2015,USA,M,Spearfishing,Provoked,N
2015,Australia,M,Surfing,Unprovoked,N
2015,USA,M,Surfing,Unprovoked,N
2015,USA,F,Floating,Invalid,N
2015,Australia,M,Scallop diving on hookah,Unprovoked,Y
2015,USA,M,Kayak Fishing,Provoked,N
2015,Australia,M,Surfing,Unprovoked,N
2015,Reunion,M,Surfing,Unprovoked,N
2015,South Africa,M,Surfing,Unprovoked,N
2015,USA,M,Surfing,Unprovoked,N
2015,USA,M,Treading water,Invalid,N
2015,French Polynesia,M,Swimming,Invalid,N
2015,Bahamas,F,Spearfishing,Unprovoked,N
2015,USA,M,,Unprovoked,N
2015,Australia,M,Surfing,Unprovoked,N
2015,Australia,M,Body boarding ,Unprovoked,N
2015,USA,M,Swimming,Unprovoked,N
2015,Australia,M,Surfing,Unprovoked,N
2015,USA,M,Playing in the water,Unprovoked,N
2015,USA,M,Swimming,Unprovoked,N
2015,South Africa,M,Body Boarding,Unprovoked,N
2015,USA,F,Swimming,Invalid,N
2015,South Africa,M,Surfing,Unprovoked,N
2015,USA,M,Standing,Unprovoked,N
2015,Australia,M,Swimming,Provoked,N
2015,USA,M,Body surfing?,Unprovoked,N
2015,USA,M,Swimming,Unprovoked,N
2015,Australia,F,Surfing,Invalid,N
2015,USA,M,Standing,Unprovoked,N
2015,Puerto Rico,M,Spearfishing,Unprovoked,N
2015,USA,M,Swimming,Unprovoked,N
2015,USA,M,Wading,Unprovoked,N
2015,USA,F,Wading,Unprovoked,N
2015,USA,F,,Unprovoked,N
2015,USA,F,Boogie boarding,Unprovoked,N
2015,USA,M,Playing,Unprovoked,N
2015,USA,F,Attempting to rescue a shark,Unprovoked,N
2015,Reunion,M,Surfing,Unprovoked,N
2015,USA,F,Standing,Unprovoked,N
2015,USA,F,Wading,Unprovoked,N
2015,French Polynesia,M,Spearfishing,Unprovoked,N
2015,USA,F,Swimming,Unprovoked,N
2015,USA,M,Surfing,Unprovoked,N
2015,USA,M,,Unprovoked,N
2015,New Caledonia,M,Snorkeling,Unprovoked,Y
2015,USA,M,Swimming,Unprovoked,N
2015,Australia,M,Surfing,Unprovoked,N
2015,South Africa,M,Diving,Unprovoked,N
2015,USA,F,Snorkeling,Unprovoked,Y
2015,USA,M,Wading,Unprovoked,N
2015,Australia,M,Surfing,Unprovoked,N
2015,Australia,M,Surf skiing ,Unprovoked,N
2015,USA,M,Photographing the shark,Unprovoked,N
2015,Australia,M,Paddle boarding,Unprovoked,N
2015,Reunion,M,Surfing,Unprovoked,Y
2015,Brazil,M,Surfing,Invalid,N
2015,USA,M,Spearfishing,Unprovoked,N
2015,Italy,M,Diving,Invalid,Y
2015,South Africa,M,Kayak Fishing,Boat,N
2015,Egypt,M,Swimming,Unprovoked,Y
2015,USA,M,Standing / Snorkeling,Unprovoked,N
2015,French Polynesia,M,Hand feeding sharks,Unprovoked,N
2015,Australia,M,Fishing,Boat,N
2015,Mexico,M,Fishing,Provoked,N
